uf,municipio_cod,municipio_fato,populacao
MG,3100104,Abadia dos Dourados,"  6,235 "
MG,3100203,Abaeté,"  22,492 "
MG,3100302,Abre Campo,"  13,882 "
MG,3100401,Acaiaca,"  3,920 "
MG,3100500,Açucena,"  9,229 "
MG,3100609,Água Boa,"  12,390 "
MG,3100708,Água Comprida,"  2,085 "
MG,3100807,Aguanil,"  4,362 "
MG,3100906,Águas Formosas,"  18,430 "
MG,3101003,Águas Vermelhas,"  14,026 "
MG,3101102,Aimorés,"  24,934 "
MG,3101201,Aiuruoca,"  6,225 "
MG,3101300,Alagoa,"  2,646 "
MG,3101409,Albertina,"  2,941 "
MG,3101508,Além Paraíba,"  30,608 "
MG,3101607,Alfenas,"  79,175 "
MG,3101631,Alfredo Vasconcelos,"  6,938 "
MG,3101706,Almenara,"  39,915 "
MG,3101805,Alpercata,"  6,403 "
MG,3101904,Alpinópolis,"  17,883 "
MG,3102001,Alterosa,"  13,697 "
MG,3102050,Alto Caparaó,"  5,796 "
MG,3102100,Alto Rio Doce,"  10,894 "
MG,3102209,Alvarenga,"  3,858 "
MG,3102308,Alvinópolis,"  15,178 "
MG,3102407,Alvorada de Minas,"  4,065 "
MG,3102506,Amparo do Serra,"  4,472 "
MG,3102605,Andradas,"  40,522 "
MG,3102704,Cachoeira de Pajeú,"  9,020 "
MG,3102803,Andrelândia,"  11,730 "
MG,3102852,Angelândia,"  7,730 "
MG,3102902,Antônio Carlos,"  11,095 "
MG,3103009,Antônio Dias,"  9,248 "
MG,3103108,Antônio Prado de Minas,"  1,537 "
MG,3103207,Araçaí,"  2,174 "
MG,3103306,Aracitaba,"  1,804 "
MG,3103405,Araçuaí,"  34,807 "
MG,3103504,Araguari,"  121,424 "
MG,3103603,Arantina,"  2,916 "
MG,3103702,Araponga,"  8,048 "
MG,3103751,Araporã,"  8,543 "
MG,3103801,Arapuá,"  2,621 "
MG,3103900,Araújos,"  9,192 "
MG,3104007,Araxá,"  116,561 "
MG,3104106,Arceburgo,"  9,278 "
MG,3104205,Arcos,"  41,635 "
MG,3104304,Areado,"  13,752 "
MG,3104403,Argirita,"  2,717 "
MG,3104452,Aricanduva,"  4,721 "
MG,3104502,Arinos,"  18,526 "
MG,3104601,Astolfo Dutra,"  14,239 "
MG,3104700,Ataléia,"  13,744 "
MG,3104809,Augusto de Lima,"  4,507 "
MG,3104908,Baependi,"  18,261 "
MG,3105004,Baldim,"  7,336 "
MG,3105103,Bambuí,"  23,545 "
MG,3105202,Bandeira,"  4,606 "
