node_id,municipio,geocodigo,betweenness_centrality,taxa_feminicidio_norm,grau,rank_bc
Diamantina,,3121605,0.18362932,0.00000000,8,1
Curvelo,,3120904,0.14998974,0.01900000,8,2
Formiga,,3126109,0.13523192,0.04700000,7,3
Sacramento,,3156908,0.13402048,0.12400000,10,4
Caratinga,,3113404,0.12710363,0.05500000,15,5
Bocaiúva,,3107307,0.12139936,0.03200000,7,6
Oliveira,,3145604,0.11735370,0.00000000,8,7
Pompéu,,3152006,0.11624097,0.05300000,5,8
Santo Antônio do Monte,,3160405,0.11269527,0.00000000,10,9
Ouro Preto,,3146107,0.11116892,0.02100000,7,10
Martinho Campos,,3140506,0.10330760,0.00000000,5,11
São Gonçalo do Abaeté,,3161700,0.10288857,0.00000000,5,12
Bom Despacho,,3107406,0.10057541,0.03000000,6,13
Serro,,3167103,0.09779022,0.07400000,5,14
Monjolos,,3142502,0.09675928,0.00000000,4,15
Brumadinho,,3109006,0.08953454,0.12500000,11,16
Barbacena,,3105608,0.08858043,0.00000000,10,17
Boa Esperança,,3107109,0.08763880,0.00000000,7,18
Alfenas,,3101607,0.08753813,0.06100000,8,19
Corinto,,3119104,0.08746252,0.00000000,5,20
Conceição do Mato Dentro,,3117504,0.08717808,0.00000000,10,21
Mariana,,3140001,0.08658938,0.02500000,7,22
Pimenta,,3150505,0.08629407,0.00000000,4,23
Três Marias,,3169356,0.08613806,0.00000000,4,24
Guanhães,,3128006,0.08601425,0.10100000,7,25
São João del Rei,,3162500,0.08212498,0.01700000,8,26
Perdizes,,3149804,0.08012625,0.17800000,6,27
Carmo do Rio Claro,,3114402,0.07978442,0.00000000,6,28
Tiros,,3168903,0.07790353,0.19700000,5,29
Congonhas,,3118007,0.07681216,0.02900000,5,30
Santo Hipólito,,3160603,0.07563815,0.00000000,2,31
São Domingos do Prata,,3161007,0.07331502,0.00000000,8,32
Alvinópolis,,3102308,0.07264219,0.00000000,6,33
Resende Costa,,3154200,0.07191866,0.00000000,7,34
Belo Horizonte,,3106200,0.06971171,0.02700000,8,35
Jeceaba,,3135407,0.06875705,0.00000000,6,36
Nazareno,,3144508,0.06774025,0.00000000,6,37
São João Batista do Glória,,3162203,0.06679584,0.00000000,6,38
Santana do Paraíso,,3158953,0.06673045,0.08600000,4,39
Uberaba,,3170107,0.06525437,0.01300000,8,40
Candeias,,3112000,0.06267260,0.00000000,5,41
Santana do Riacho,,3159001,0.06257863,0.00000000,4,42
Grão Mogol,,3127800,0.06242131,0.00000000,8,43
Açucena,,3100500,0.06228217,0.00000000,5,44
Belo Oriente,,3106309,0.06190602,0.00000000,4,45
Campos Gerais,,3111606,0.06179485,0.00000000,5,46
Olhos-d'Água,,3145455,0.06175923,0.00000000,2,47
Sabinópolis,,3156809,0.06094676,0.00000000,3,48
Raul Soares,,3154002,0.06001020,0.00000000,6,49
Itapecerica,,3133501,0.05961271,0.00000000,7,50
Manhuaçu,,3139409,0.05929028,0.05400000,8,51
Piranga,,3150802,0.05919213,0.00000000,9,52
Capelinha,,3112307,0.05904009,0.12200000,7,53
Lassance,,3138104,0.05780594,0.00000000,4,54
Jaboticatubas,,3134608,0.05745073,0.16300000,5,55
Piumhi,,3151503,0.05742884,0.00000000,6,56
Unaí,,3170404,0.05619435,0.01800000,8,57
Delfinópolis,,3121209,0.05573040,0.00000000,3,58
Itacambira,,3132008,0.05510574,0.00000000,4,59
Montes Claros,,3143302,0.05491555,0.01500000,9,60
Juiz de Fora,,3136702,0.05469040,0.02300000,13,61
Fervedouro,,3125952,0.05411406,0.00000000,5,62
São Tiago,,3165008,0.05360306,0.00000000,6,63
Carmo do Paranaíba,,3114303,0.05342618,0.05600000,6,64
Muriaé,,3143906,0.05270818,0.00000000,8,65
Divino,,3122009,0.05267100,0.00000000,5,66
Luisburgo,,3138674,0.05150575,0.00000000,4,67
Serra do Salitre,,3166808,0.05148720,0.00000000,6,68
Inhapim,,3130903,0.05136786,0.00000000,11,69
Conselheiro Pena,,3118403,0.05121707,0.00000000,9,70
Leopoldina,,3138401,0.05099626,0.03300000,9,71
Augusto de Lima,,3104809,0.05023974,0.00000000,3,72
Teófilo Otoni,,3168606,0.05014456,0.04500000,8,73
Carbonita,,3113503,0.04970063,0.18900000,5,74
Coromandel,,3119302,0.04946294,0.00000000,8,75
Bom Sucesso,,3108008,0.04943187,0.00000000,6,76
Itamarandiba,,3132503,0.04909321,0.05000000,8,77
Turmalina,,3169703,0.04862816,0.00000000,6,78
Alterosa,,3102001,0.04862422,0.00000000,5,79
Aguanil,,3100807,0.04854015,0.00000000,3,80
São Francisco de Paula,,3161205,0.04761502,0.00000000,5,81
Miradouro,,3142106,0.04692064,0.00000000,4,82
Santa Luzia,,3157807,0.04593880,0.03800000,6,83
São Roque de Minas,,3164308,0.04525311,0.00000000,6,84
Arinos,,3104502,0.04494219,0.00000000,7,85
Belo Vale,,3106408,0.04451367,0.00000000,6,86
Machado,,3139003,0.04434263,0.00000000,7,87
Carmo da Cachoeira,,3113909,0.04415238,0.00000000,6,88
Ferros,,3125903,0.04366225,0.17400000,7,89
Carrancas,,3114600,0.04272582,0.00000000,5,90
Três Corações,,3169307,0.04257687,0.02100000,7,91
Alpinópolis,,3101904,0.04231403,0.00000000,6,92
Itaguara,,3132206,0.04227133,0.11100000,7,93
Chapada Gaúcha,,3116159,0.04195918,0.13100000,4,94
Francisco Dumont,,3126604,0.04182774,0.00000000,3,95
Entre Rios de Minas,,3123908,0.04181910,0.00000000,7,96
Rio Casca,,3154903,0.04170893,0.12500000,4,97
Governador Valadares,,3127701,0.04139662,0.03100000,9,98
Itutinga,,3134509,0.04109447,0.00000000,3,99
Laranjal,,3138005,0.04002645,0.00000000,5,100
Divinópolis,,3122306,0.03972659,0.02600000,7,101
Alvarenga,,3102209,0.03942998,0.00000000,4,102
Simonésia,,3167608,0.03934470,0.00000000,5,103
Ataléia,,3104700,0.03921688,0.00000000,6,104
Central de Minas,,3115706,0.03897164,0.00000000,5,105
Malacacheta,,3139201,0.03890076,0.00000000,5,106
Cláudio,,3116605,0.03886053,0.00000000,5,107
Carandaí,,3113206,0.03861196,0.00000000,8,108
Esmeraldas,,3124104,0.03789671,0.04700000,11,109
Engenheiro Navarro,,3123809,0.03789269,0.00000000,2,110
Guapé,,3128105,0.03787900,0.00000000,3,111
Januária,,3135209,0.03770062,0.04900000,5,112
Itatiaiuçu,,3133709,0.03765676,0.00000000,6,113
Três Pontas,,3169406,0.03764172,0.00000000,5,114
Itabirito,,3131901,0.03738820,0.02700000,4,115
Dores do Turvo,,3123304,0.03732903,0.00000000,5,116
Araçuaí,,3103405,0.03732754,0.09200000,6,117
Mendes Pimentel,,3141504,0.03714342,0.00000000,4,118
Desterro de Entre Rios,,3121407,0.03701044,0.00000000,5,119
Patrocínio,,3148103,0.03679694,0.01700000,6,120
Paracatu,,3147006,0.03656574,0.01700000,5,121
Pouso Alegre,,3152501,0.03631101,0.04000000,7,122
São João Nepomuceno,,3162906,0.03626648,0.00000000,6,123
Itabirinha,,3131802,0.03626127,0.00000000,5,124
Jaíba,,3135050,0.03588068,0.00000000,7,125
Nova Lima,,3144805,0.03572114,0.01400000,6,126
Presidente Kubitschek,,3153301,0.03568608,0.00000000,3,127
Nepomuceno,,3144607,0.03543789,0.00000000,4,128
São Pedro dos Ferros,,3164001,0.03485766,0.22500000,2,129
Ilicínea,,3130507,0.03401617,0.12600000,3,130
Santos Dumont,,3160702,0.03383774,0.07300000,8,131
Arantina,,3103603,0.03372996,0.00000000,3,132
Ubá,,3169901,0.03300806,0.06500000,7,133
Andrelândia,,3102803,0.03298303,0.00000000,6,134
Campo Belo,,3111200,0.03268124,0.03100000,5,135
Bicas,,3106903,0.03257623,0.00000000,7,136
Carmópolis de Minas,,3114501,0.03206612,0.00000000,4,137
Água Boa,,3100609,0.03192291,0.00000000,4,138
Bom Jardim de Minas,,3107505,0.03184893,0.00000000,4,139
Lima Duarte,,3138609,0.03171436,0.00000000,6,140
Abaeté,,3100203,0.03127424,0.00000000,5,141
Lavras,,3138203,0.03046030,0.01600000,5,142
Buenópolis,,3109204,0.03028326,0.17700000,3,143
Poté,,3152402,0.02995279,0.00000000,3,144
Itacarambi,,3132107,0.02981873,0.00000000,3,145
Berilo,,3106507,0.02916934,0.00000000,5,146
João Pinheiro,,3136306,0.02891082,0.10100000,7,147
Paraopeba,,3147402,0.02874466,0.00000000,4,148
Carmo da Mata,,3114006,0.02870617,0.00000000,4,149
Carmo do Cajuru,,3114204,0.02836000,0.13700000,6,150
Abre Campo,,3100302,0.02834370,0.00000000,5,151
Angelândia,,3102852,0.02815815,0.20800000,3,152
Alto Rio Doce,,3102100,0.02766112,0.00000000,5,153
Ijaci,,3130408,0.02746891,0.00000000,3,154
São Gonçalo do Sapucaí,,3162005,0.02741415,0.00000000,5,155
Ipanema,,3131208,0.02705103,0.00000000,6,156
Uberlândia,,3170206,0.02687012,0.02000000,5,157
Jequeri,,3135506,0.02680582,0.12600000,6,158
Inhaúma,,3131000,0.02662970,0.00000000,4,159
Itamonte,,3133006,0.02629170,0.00000000,3,160
Prata,,3152808,0.02617850,0.05600000,6,161
Itanhandu,,3133105,0.02611831,0.00000000,5,162
Itabira,,3131703,0.02582175,0.04400000,6,163
Ritápolis,,3156106,0.02561903,0.00000000,4,164
Ponte Nova,,3152105,0.02527990,0.05500000,6,165
Padre Carvalho,,3146255,0.02441816,0.31900000,3,166
São José da Barra,,3162948,0.02393810,0.00000000,3,167
Fruta de Leite,,3127073,0.02379352,0.00000000,5,168
Luminárias,,3138708,0.02351538,0.00000000,5,169
Mesquita,,3141702,0.02336583,0.00000000,5,170
Araponga,,3103702,0.02316526,0.00000000,4,171
Conceição do Rio Verde,,3117702,0.02307594,0.00000000,5,172
Liberdade,,3138500,0.02306060,0.00000000,3,173
Campestre,,3111002,0.02293203,0.07400000,6,174
Santa Maria de Itabira,,3158003,0.02260401,0.00000000,5,175
Novo Oriente de Minas,,3145356,0.02260352,0.00000000,5,176
Espírito Santo do Dourado,,3124401,0.02255608,0.00000000,3,177
Senador Modestino Gonçalves,,3165909,0.02248038,0.00000000,6,178
Santa Bárbara do Leste,,3157252,0.02228324,0.00000000,5,179
Carlos Chagas,,3113701,0.02218622,0.00000000,6,180
Conceição do Pará,,3117603,0.02200763,0.30300000,7,181
Cruzília,,3120805,0.02191927,0.00000000,6,182
Estiva,,3124500,0.02161154,0.00000000,6,183
Virgínia,,3171709,0.02153439,0.00000000,7,184
Conselheiro Lafaiete,,3118304,0.02152136,0.00000000,7,185
Desterro do Melo,,3121506,0.02109206,0.00000000,3,186
Guidoval,,3128808,0.02103645,0.22400000,7,187
Nova Era,,3144706,0.02079976,0.00000000,4,188
Cristais,,3120201,0.02073192,0.00000000,3,189
Turvolândia,,3169802,0.02051803,0.00000000,4,190
Oliveira Fortes,,3145703,0.02051285,0.00000000,4,191
Cristiano Otoni,,3120409,0.02042731,0.00000000,6,192
Bocaina de Minas,,3107208,0.02039898,0.00000000,3,193
Careaçu,,3113602,0.02033993,0.00000000,4,194
Jequitinhonha,,3135803,0.02031111,0.07200000,7,195
Divisa Nova,,3122405,0.02023991,0.00000000,4,196
Antônio Carlos,,3102902,0.02006569,0.00000000,4,197
Campanha,,3110905,0.01990703,0.10100000,4,198
Soledade de Minas,,3167806,0.01980699,0.00000000,5,199
Coroaci,,3119203,0.01968743,0.00000000,5,200
Santa Maria do Suaçuí,,3158201,0.01964173,0.00000000,5,201
Pitangui,,3151404,0.01958575,0.06000000,5,202
Datas,,3121001,0.01937677,0.00000000,3,203
Cedro do Abaeté,,3115607,0.01928279,0.00000000,2,204
Caldas,,3110301,0.01897214,0.00000000,4,205
Itinga,,3134004,0.01875293,0.12800000,2,206
Águas Formosas,,3100906,0.01859382,0.08700000,5,207
Alvorada de Minas,,3102407,0.01826364,0.00000000,3,208
Várzea da Palma,,3170800,0.01811911,0.00000000,4,209
Ervália,,3124005,0.01808926,0.00000000,5,210
São João Evangelista,,3162807,0.01801059,0.00000000,5,211
Antônio Dias,,3103009,0.01795218,0.00000000,5,212
Aiuruoca,,3101201,0.01794556,0.00000000,6,213
Sericita,,3166303,0.01782302,0.21800000,3,214
São Sebastião do Maranhão,,3164506,0.01771674,0.16200000,4,215
Urucânia,,3170503,0.01766505,0.00000000,5,216
Vazante,,3171006,0.01756706,0.00000000,4,217
Guarda-Mor,,3128600,0.01751237,0.00000000,3,218
São Sebastião da Bela Vista,,3164407,0.01740068,0.00000000,3,219
Itaobim,,3133303,0.01698309,0.00000000,4,220
Dores de Guanhães,,3123106,0.01668790,0.00000000,5,221
Veríssimo,,3171105,0.01647306,0.00000000,4,222
Jequitibá,,3135704,0.01646117,0.00000000,5,223
Presidente Bernardes,,3153103,0.01634255,0.00000000,5,224
Piedade do Rio Grande,,3150307,0.01626662,0.00000000,4,225
Caraí,,3113008,0.01621077,0.00000000,4,226
Gameleiras,,3127339,0.01616894,0.00000000,4,227
Luz,,3138807,0.01607596,0.00000000,7,228
Porto Firme,,3152303,0.01590385,0.00000000,5,229
Patos de Minas,,3148004,0.01588583,0.06000000,9,230
Lagoa Dourada,,3137403,0.01587328,0.00000000,5,231
Cordisburgo,,3118908,0.01574310,0.00000000,5,232
Baldim,,3105004,0.01528624,0.00000000,3,233
Coluna,,3116803,0.01528299,0.00000000,6,234
Monte Carmelo,,3143104,0.01519901,0.06800000,8,235
Nacip Raydan,,3144201,0.01517391,0.00000000,4,236
Piranguinho,,3151008,0.01510370,0.17600000,5,237
Naque,,3144359,0.01491010,0.25300000,3,238
Joanésia,,3136108,0.01490914,0.00000000,2,239
Nova Ponte,,3145000,0.01488407,0.00000000,6,240
Viçosa,,3171303,0.01485282,0.00000000,5,241
Campina Verde,,3111101,0.01482804,0.00000000,7,242
Passa Tempo,,3147709,0.01473958,0.00000000,5,243
Itajubá,,3132404,0.01467392,0.03500000,5,244
Guaraciaba,,3128204,0.01461927,0.00000000,5,245
Silvianópolis,,3167400,0.01439346,0.00000000,4,246
Virginópolis,,3171808,0.01433520,0.00000000,3,247
Janaúba,,3135100,0.01426440,0.04600000,5,248
Poço Fundo,,3151701,0.01424014,0.10100000,3,249
Almenara,,3101706,0.01420043,0.04000000,6,250
São João da Ponte,,3162401,0.01406986,0.00000000,6,251
Varginha,,3170701,0.01406634,0.03500000,5,252
Bambuí,,3105103,0.01404241,0.00000000,6,253
Francisco Sá,,3126703,0.01403854,0.00000000,5,254
Andradas,,3102605,0.01403750,0.04000000,5,255
Pocrane,,3151909,0.01403067,0.00000000,6,256
Presidente Olegário,,3153400,0.01394827,0.00000000,6,257
Rio Manso,,3155306,0.01379147,0.00000000,4,258
Ouro Fino,,3146008,0.01342033,0.05000000,6,259
Itambacuri,,3132701,0.01339859,0.00000000,5,260
Periquito,,3149952,0.01333732,0.00000000,2,261
Virgem da Lapa,,3171600,0.01319543,0.00000000,3,262
Umburatiba,,3170305,0.01306463,0.00000000,4,263
Francisco Badaró,,3126505,0.01300613,0.00000000,3,264
Sabará,,3156700,0.01290724,0.03700000,6,265
Santo Antônio do Grama,,3160108,0.01269201,0.00000000,3,266
Coqueiral,,3118700,0.01268530,0.00000000,3,267
Dores do Indaiá,,3123205,0.01268129,0.00000000,5,268
Rio Pardo de Minas,,3155603,0.01266814,0.00000000,8,269
Conceição das Alagoas,,3117306,0.01255044,0.12100000,6,270
Ibiraci,,3129707,0.01253286,0.00000000,3,271
Miraí,,3142205,0.01243257,0.00000000,6,272
São João da Mata,,3162302,0.01227937,0.00000000,3,273
Joaíma,,3136009,0.01222649,0.00000000,5,274
Espinosa,,3124302,0.01207344,0.05400000,4,275
Serrania,,3166907,0.01204965,0.00000000,3,276
Santana da Vargem,,3158300,0.01189000,0.00000000,4,277
Águas Vermelhas,,3101003,0.01187947,0.00000000,6,278
Nova Serrana,,3145208,0.01179851,0.04200000,6,279
Bela Vista de Minas,,3106002,0.01169766,0.00000000,5,280
Montezuma,,3143450,0.01160655,0.00000000,5,281
Santo Antônio do Amparo,,3159902,0.01159158,0.09600000,4,282
Seritinga,,3166402,0.01157352,0.00000000,5,283
Baependi,,3104908,0.01147614,0.00000000,4,284
Barra Longa,,3105707,0.01145316,0.00000000,4,285
Coração de Jesus,,3118809,0.01140439,0.12900000,6,286
