municipality,mesoregion_slug,mesoregion_label
Abadia dos Dourados,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Abaeté,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Abre Campo,zona_da_mata,Zona da Mata
Acaiaca,campo_das_vertentes,Campo das Vertentes
Aguanil,oeste_de_minas,Oeste de Minas
Aimorés,vale_do_rio_doce,Vale do Rio Doce
Aiuruoca,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Alagoa,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Albertina,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Alfenas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Alfredo Vasconcelos,campo_das_vertentes,Campo das Vertentes
Almenara,jequitinhonha,Jequitinhonha
Alpercata,vale_do_rio_doce,Vale do Rio Doce
Alpinópolis,oeste_de_minas,Oeste de Minas
Alterosa,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Alto Caparaó,zona_da_mata,Zona da Mata
Alto Jequitibá,zona_da_mata,Zona da Mata
Alto Rio Doce,zona_da_mata,Zona da Mata
Alvarenga,vale_do_rio_doce,Vale do Rio Doce
Alvinópolis,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Alvorada de Minas,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Além Paraíba,zona_da_mata,Zona da Mata
Amparo do Serra,zona_da_mata,Zona da Mata
Andradas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Andrelândia,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Angelândia,norte_de_minas,Norte de Minas
Antônio Carlos,campo_das_vertentes,Campo das Vertentes
Antônio Dias,vale_do_rio_doce,Vale do Rio Doce
Antônio Prado de Minas,zona_da_mata,Zona da Mata
Aracitaba,zona_da_mata,Zona da Mata
Araguari,vale_do_mucuri,Vale do Mucuri
Arantina,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Araponga,zona_da_mata,Zona da Mata
Araporã,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Arapuá,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Araxá,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Araçaí,central_mineira,Central Mineira
Araçuaí,jequitinhonha,Jequitinhonha
Araújos,central_mineira,Central Mineira
Arceburgo,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Arcos,oeste_de_minas,Oeste de Minas
Areado,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Argirita,zona_da_mata,Zona da Mata
Aricanduva,norte_de_minas,Norte de Minas
Arinos,noroeste_de_minas,Noroeste de Minas
Astolfo Dutra,zona_da_mata,Zona da Mata
Ataléia,jequitinhonha,Jequitinhonha
Augusto de Lima,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Açucena,vale_do_rio_doce,Vale do Rio Doce
Baependi,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Baldim,central_mineira,Central Mineira
Bambuí,vale_do_rio_doce,Vale do Rio Doce
Bandeira,jequitinhonha,Jequitinhonha
Bandeira do Sul,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Barbacena,campo_das_vertentes,Campo das Vertentes
Barra Longa,campo_das_vertentes,Campo das Vertentes
Barroso,campo_das_vertentes,Campo das Vertentes
Barão de Cocais,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Barão de Monte Alto,zona_da_mata,Zona da Mata
Bela Vista de Minas,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Belmiro Braga,zona_da_mata,Zona da Mata
Belo Horizonte,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Belo Oriente,vale_do_rio_doce,Vale do Rio Doce
Belo Vale,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Berilo,norte_de_minas,Norte de Minas
Berizal,norte_de_minas,Norte de Minas
Bertópolis,vale_do_mucuri,Vale do Mucuri
Betim,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Bias Fortes,zona_da_mata,Zona da Mata
Bicas,zona_da_mata,Zona da Mata
Biquinhas,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Boa Esperança,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Bocaina de Minas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Bocaiúva,norte_de_minas,Norte de Minas
Bom Despacho,central_mineira,Central Mineira
Bom Jardim de Minas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Bom Jesus da Penha,oeste_de_minas,Oeste de Minas
Bom Jesus do Amparo,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Bom Jesus do Galho,vale_do_rio_doce,Vale do Rio Doce
Bom Repouso,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Bom Sucesso,oeste_de_minas,Oeste de Minas
Bonfim,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Bonfinópolis de Minas,noroeste_de_minas,Noroeste de Minas
Bonito de Minas,noroeste_de_minas,Noroeste de Minas
Borda da Mata,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Botelhos,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Botumirim,norte_de_minas,Norte de Minas
Brasilândia de Minas,noroeste_de_minas,Noroeste de Minas
Brasília de Minas,norte_de_minas,Norte de Minas
Brazópolis,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Braúnas,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Brumadinho,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Brás Pires,zona_da_mata,Zona da Mata
Bueno Brandão,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Buenópolis,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Bugre,vale_do_rio_doce,Vale do Rio Doce
Buritis,noroeste_de_minas,Noroeste de Minas
Buritizeiro,norte_de_minas,Norte de Minas
Cabeceira Grande,noroeste_de_minas,Noroeste de Minas
Cabo Verde,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Cachoeira Dourada,vale_do_mucuri,Vale do Mucuri
Cachoeira da Prata,central_mineira,Central Mineira
Cachoeira de Minas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Cachoeira de Pajeú,jequitinhonha,Jequitinhonha
Caetanópolis,central_mineira,Central Mineira
Caeté,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Caiana,zona_da_mata,Zona da Mata
Cajuri,zona_da_mata,Zona da Mata
Caldas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Camacho,oeste_de_minas,Oeste de Minas
Camanducaia,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Cambuquira,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Cambuí,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Campanha,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Campanário,vale_do_rio_doce,Vale do Rio Doce
Campestre,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Campina Verde,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Campo Azul,norte_de_minas,Norte de Minas
Campo Belo,oeste_de_minas,Oeste de Minas
Campo Florido,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Campo do Meio,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Campos Altos,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Campos Gerais,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Cana Verde,oeste_de_minas,Oeste de Minas
Canaã,zona_da_mata,Zona da Mata
Candeias,oeste_de_minas,Oeste de Minas
Cantagalo,vale_do_rio_doce,Vale do Rio Doce
Canápolis,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Caparaó,zona_da_mata,Zona da Mata
Capela Nova,campo_das_vertentes,Campo das Vertentes
Capelinha,norte_de_minas,Norte de Minas
Capetinga,oeste_de_minas,Oeste de Minas
Capim Branco,central_mineira,Central Mineira
Capinópolis,vale_do_mucuri,Vale do Mucuri
Capitão Andrade,vale_do_rio_doce,Vale do Rio Doce
Capitão Enéas,norte_de_minas,Norte de Minas
Capitólio,oeste_de_minas,Oeste de Minas
Caputira,zona_da_mata,Zona da Mata
Caranaíba,campo_das_vertentes,Campo das Vertentes
Carandaí,campo_das_vertentes,Campo das Vertentes
Carangola,zona_da_mata,Zona da Mata
Caratinga,vale_do_rio_doce,Vale do Rio Doce
Caraí,jequitinhonha,Jequitinhonha
Carbonita,norte_de_minas,Norte de Minas
Careaçu,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Carlos Chagas,vale_do_mucuri,Vale do Mucuri
Carmo da Cachoeira,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Carmo da Mata,oeste_de_minas,Oeste de Minas
Carmo de Minas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Carmo do Cajuru,oeste_de_minas,Oeste de Minas
Carmo do Paranaíba,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Carmo do Rio Claro,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Carmésia,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Carmópolis de Minas,oeste_de_minas,Oeste de Minas
Carneirinho,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Carrancas,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Carvalhos,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Carvalhópolis,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Casa Grande,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Cascalho Rico,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Cataguases,zona_da_mata,Zona da Mata
Catas Altas,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Catas Altas da Noruega,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Catuji,jequitinhonha,Jequitinhonha
Catuti,norte_de_minas,Norte de Minas
Caxambu,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Cedro do Abaeté,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Central de Minas,vale_do_rio_doce,Vale do Rio Doce
Centralina,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Chalé,zona_da_mata,Zona da Mata
Chapada Gaúcha,noroeste_de_minas,Noroeste de Minas
Chapada do Norte,norte_de_minas,Norte de Minas
Chiador,zona_da_mata,Zona da Mata
Chácara,zona_da_mata,Zona da Mata
Cipotânea,zona_da_mata,Zona da Mata
Claraval,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Claro dos Poções,norte_de_minas,Norte de Minas
Cláudio,oeste_de_minas,Oeste de Minas
Coimbra,zona_da_mata,Zona da Mata
Coluna,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Comendador Gomes,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Comercinho,jequitinhonha,Jequitinhonha
Conceição da Aparecida,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Conceição da Barra de Minas,campo_das_vertentes,Campo das Vertentes
Conceição das Alagoas,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Conceição das Pedras,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Conceição de Ipanema,vale_do_rio_doce,Vale do Rio Doce
Conceição do Mato Dentro,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Conceição do Pará,oeste_de_minas,Oeste de Minas
Conceição do Rio Verde,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Conceição dos Ouros,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Confins,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Congonhal,sul_sudoeste_de_minas,Sul / Sudoeste de Minas
Congonhas,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Congonhas do Norte,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Conquista,triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba
Conselheiro Lafaiete,metropolitana_belo_horizonte,Metropolitana de Belo Horizonte
Conselheiro Pena,vale_do_rio_doce,Vale do Rio Doce
