municipio_cod,qtde_vitimas,populacao,taxa_feminicidio_por_100k_hab,taxa_feminicidio_normalizada
3100104,0,6235,0.000,0.000
3100203,0,22492,0.000,0.000
3100302,0,13882,0.000,0.000
3100401,0,3920,0.000,0.000
3100500,0,9229,0.000,0.000
3100609,0,12390,0.000,0.000
3100708,0,2085,0.000,0.000
3100807,0,4362,0.000,0.000
3100906,1,18430,5.426,0.087
3101003,0,14026,0.000,0.000
3101102,0,24934,0.000,0.000
3101201,0,6225,0.000,0.000
3101300,0,2646,0.000,0.000
3101409,0,2941,0.000,0.000
3101508,1,30608,3.267,0.052
3101607,3,79175,3.789,0.061
3101631,0,6938,0.000,0.000
3101706,1,39915,2.505,0.040
3101805,0,6403,0.000,0.000
3101904,0,17883,0.000,0.000
3102001,0,13697,0.000,0.000
3102050,0,5796,0.000,0.000
3102100,0,10894,0.000,0.000
3102209,0,3858,0.000,0.000
3102308,0,15178,0.000,0.000
3102407,0,4065,0.000,0.000
3102506,0,4472,0.000,0.000
3102605,1,40522,2.468,0.040
3102704,3,9020,33.259,0.534
3102803,0,11730,0.000,0.000
3102852,1,7730,12.937,0.208
3102902,0,11095,0.000,0.000
3103009,0,9248,0.000,0.000
3103108,0,1537,0.000,0.000
3103207,0,2174,0.000,0.000
3103306,0,1804,0.000,0.000
3103405,2,34807,5.746,0.092
3103504,1,121424,0.824,0.013
3103603,0,2916,0.000,0.000
3103702,0,8048,0.000,0.000
3103751,1,8543,11.705,0.188
3103801,0,2621,0.000,0.000
3103900,0,9192,0.000,0.000
3104007,2,116561,1.716,0.028
3104106,0,9278,0.000,0.000
3104205,1,41635,2.402,0.039
3104304,0,13752,0.000,0.000
3104403,0,2717,0.000,0.000
3104452,0,4721,0.000,0.000
3104502,0,18526,0.000,0.000
3104601,0,14239,0.000,0.000
3104700,0,13744,0.000,0.000
3104809,0,4507,0.000,0.000
3104908,0,18261,0.000,0.000
3105004,0,7336,0.000,0.000
3105103,0,23545,0.000,0.000
3105202,0,4606,0.000,0.000
3105301,2,5968,33.512,0.538
3105400,0,30643,0.000,0.000
3105509,0,4965,0.000,0.000
3105608,0,122894,0.000,0.000
3105707,0,5678,0.000,0.000
3105905,0,19802,0.000,0.000
3106002,0,9505,0.000,0.000
3106101,0,2905,0.000,0.000
3106200,40,2392678,1.672,0.027
3106309,0,22149,0.000,0.000
3106408,0,8632,0.000,0.000
3106507,0,9615,0.000,0.000
3106606,0,4457,0.000,0.000
3106655,0,4191,0.000,0.000
3106705,7,428956,1.632,0.026
3106804,0,3357,0.000,0.000
3106903,0,13935,0.000,0.000
3107000,0,2356,0.000,0.000
3107109,0,41060,0.000,0.000
3107208,0,5316,0.000,0.000
3107307,1,50185,1.993,0.032
3107406,1,53750,1.860,0.030
