mesoregion_slug,mesoregion_label,assortativity_physical_boundaries,assortativity_highways,assortativity_delta_hw_minus_pb,assortativity_same_sign,bc_correlation_physical_boundaries,bc_correlation_highways,bc_correlation_delta_hw_minus_pb,bc_correlation_same_sign
noroeste_de_minas,Noroeste de Minas,0.000238,0.061957,0.061719,True,0.361494,0.406949,0.045455,True
norte_de_minas,Norte de Minas,0.064162,0.135678,0.071516,True,0.061280,0.108717,0.047437,True
jequitinhonha,Jequitinhonha,0.008127,-0.035193,-0.043320,False,0.137554,0.116421,-0.021133,True
vale_do_mucuri,Vale do Mucuri,-0.085630,-0.099074,-0.013444,True,-0.430087,-0.373995,0.056092,True
triangulo_mineiro_alto_paranaiba,Triângulo Mineiro / Alto Paranaíba,-0.099714,-0.114419,-0.014705,True,0.448545,0.480820,0.032275,True
central_mineira,Central Mineira,-0.049287,-0.032927,0.016360,True,0.354358,0.371335,0.016977,True
metropolitana_belo_horizonte,Metropolitana de Belo Horizonte,-0.054365,-0.067982,-0.013617,True,0.316278,0.349973,0.033695,True
vale_do_rio_doce,Vale do Rio Doce,0.018470,0.021899,0.003429,True,0.089767,0.165349,0.075582,True
oeste_de_minas,Oeste de Minas,0.197789,0.214023,0.016234,True,0.110029,0.176444,0.066415,True
sul_sudoeste_de_minas,Sul / Sudoeste de Minas,0.006356,0.028449,0.022093,True,0.117785,0.161304,0.043519,True
campo_das_vertentes,Campo das Vertentes,-0.083001,-0.077181,0.005820,True,0.061898,0.048732,-0.013166,True
zona_da_mata,Zona da Mata,-0.039563,-0.006221,0.033342,True,0.191852,0.177985,-0.013867,True
