node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Barbacena,,3105608,0.18247967,0.00000000,9,1
São João del Rei,,3162500,0.15227642,0.01700000,8,2
Carandaí,,3113206,0.09364837,0.00000000,7,3
Coronel Xavier Chaves,,3119708,0.03142276,0.00000000,5,4
Ritápolis,,3156106,0.02858740,0.00000000,4,5
Ponte Nova,,3152105,0.02621951,0.05500000,4,6
Prados,,3152709,0.02284553,0.00000000,5,7
Lagoa Dourada,,3137403,0.02266260,0.00000000,3,8
Tiradentes,,3168804,0.02089431,0.00000000,4,9
Barroso,,3105905,0.01495935,0.00000000,3,10
Santa Cruz do Escalvado,,3157401,0.01463415,0.00000000,2,11
Ressaquinha,,3154408,0.01273374,0.00000000,4,12
Ibertioga,,3129400,0.00865854,0.00000000,3,13
Rio Doce,,3155009,0.00853659,0.00000000,2,14
Oratórios,,3145851,0.00853659,0.00000000,2,15
Piedade do Rio Grande,,3150307,0.00711382,0.00000000,3,16
Dores de Campos,,3123007,0.00623984,0.00000000,3,17
Conceição da Barra de Minas,,3115201,0.00599593,0.00000000,3,18
Nazareno,,3144508,0.00599593,0.00000000,3,19
São Tiago,,3165008,0.00569106,0.00000000,4,20
Resende Costa,,3154200,0.00482724,0.00000000,3,21
Guaraciaba,,3128204,0.00365854,0.00000000,2,22
Barra Longa,,3105707,0.00365854,0.00000000,2,23
Senhora dos Remédios,,3166204,0.00101626,0.00000000,3,24
Acaiaca,,3100401,0.00060976,0.00000000,2,25
Alfredo Vasconcelos,,3101631,0.00000000,0.00000000,2,26
Antônio Carlos,,3102902,0.00000000,0.00000000,2,27
Desterro do Melo,,3121506,0.00000000,0.00000000,2,28
Caranaíba,,3113107,0.00000000,0.00000000,1,29
Ribeirão Vermelho,,3154705,0.00000000,0.00000000,0,30
Santana do Garambéu,,3158706,0.00000000,0.00000000,0,31
Piedade de Ponte Nova,,3150208,0.00000000,0.00000000,1,32
Santa Cruz de Minas,,3157336,0.00000000,0.00000000,2,33
Dom Silvério,,3122702,0.00000000,0.00000000,1,34
Nepomuceno,,3144607,0.00000000,0.00000000,0,35
Madre de Deus de Minas,,3139102,0.00000000,0.00000000,2,36
Luminárias,,3138708,0.00000000,0.00000000,0,37
Capela Nova,,3112208,0.00000000,0.00000000,2,38
Santa Bárbara do Tugúrio,,3157302,0.00000000,0.00000000,2,39
Jequeri,,3135506,0.00000000,0.12600000,1,40
Rio Casca,,3154903,0.00000000,0.12500000,1,41
Raul Soares,,3154002,0.00000000,0.00000000,0,42
