node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Bom Despacho,,3107406,0.11832612,0.03000000,5,1
Dores do Indaiá,,3123205,0.11327561,0.00000000,5,2
Luz,,3138807,0.08946609,0.00000000,4,3
Lagoa da Prata,,3137205,0.04329004,0.06200000,2,4
Moema,,3142403,0.02597403,0.00000000,2,5
Estrela do Indaiá,,3124708,0.00793651,0.00000000,3,6
Cachoeira da Prata,,3109600,0.00000000,0.00000000,1,7
Fortuna de Minas,,3126406,0.00000000,0.00000000,1,8
Japaraíba,,3135308,0.00000000,0.00000000,1,9
Caetanópolis,,3109907,0.00000000,0.00000000,0,10
Morro da Garça,,3143609,0.00000000,0.00000000,0,11
Araújos,,3103900,0.00000000,0.00000000,1,12
Martinho Campos,,3140506,0.00000000,0.00000000,2,13
Presidente Juscelino,,3153202,0.00000000,0.00000000,0,14
Araçaí,,3103207,0.00000000,0.00000000,1,15
Serra da Saudade,,3166600,0.00000000,0.00000000,2,16
Monjolos,,3142502,0.00000000,0.00000000,1,17
Quartel Geral,,3153707,0.00000000,0.00000000,1,18
Cordisburgo,,3118908,0.00000000,0.00000000,1,19
Baldim,,3105004,0.00000000,0.00000000,0,20
Leandro Ferreira,,3138302,0.00000000,0.51400000,2,21
Santo Hipólito,,3160603,0.00000000,0.00000000,1,22
Capim Branco,,3112505,0.00000000,0.00000000,0,23
