node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Jequitinhonha,,3135803,0.34720978,0.07200000,7,1
Almenara,,3101706,0.27884520,0.04000000,6,2
Araçuaí,,3103405,0.26101986,0.09200000,5,3
Itaobim,,3133303,0.23314529,0.00000000,4,4
Itinga,,3134004,0.21553011,0.12800000,2,5
Novo Cruzeiro,,3145307,0.16674963,0.00000000,3,6
Caraí,,3113008,0.14122560,0.00000000,4,7
Ponto dos Volantes,,3152170,0.13541840,0.00000000,4,8
Padre Paraíso,,3146305,0.11664178,0.00000000,2,9
Ladainha,,3137007,0.11498258,0.11600000,2,10
Jacinto,,3134707,0.08562856,0.14900000,4,11
Rubim,,3156601,0.08319783,0.00000000,4,12
Pedra Azul,,3148707,0.08138377,0.00000000,5,13
Poté,,3152402,0.07897793,0.00000000,2,14
Medina,,3141405,0.06021238,0.08400000,4,15
Joaíma,,3136009,0.04444444,0.00000000,3,16
Bandeira,,3105202,0.04354571,0.00000000,4,17
Novo Oriente de Minas,,3145356,0.04065041,0.00000000,2,18
Malacacheta,,3139201,0.04065041,0.00000000,2,19
Divisópolis,,3122454,0.02940379,0.00000000,4,20
Jordânia,,3136504,0.02666888,0.36200000,3,21
Felisburgo,,3125606,0.01753775,0.00000000,2,22
Catuji,,3115458,0.01675792,0.00000000,2,23
Santa Maria do Salto,,3158102,0.01576240,0.34400000,3,24
Santo Antônio do Jacinto,,3160306,0.01281456,0.00000000,3,25
Rio do Prado,,3155108,0.01200155,0.00000000,3,26
Monte Formoso,,3143153,0.01029810,0.00000000,3,27
Itaipé,,3132305,0.00580720,0.15600000,2,28
Salto da Divisa,,3157104,0.00125823,0.00000000,2,29
Ouro Verde de Minas,,3146206,0.00116144,0.00000000,2,30
Turmalina,,3169703,0.00116144,0.00000000,2,31
Coronel Murta,,3119500,0.00000000,0.19700000,2,32
Veredinha,,3171071,0.00000000,0.31200000,1,33
Minas Novas,,3141801,0.00000000,0.00000000,1,34
Palmópolis,,3146750,0.00000000,0.00000000,2,35
Comercinho,,3117009,0.00000000,0.00000000,1,36
Franciscópolis,,3126752,0.00000000,0.00000000,1,37
Ataléia,,3104700,0.00000000,0.00000000,1,38
Virgem da Lapa,,3171600,0.00000000,0.00000000,2,39
Mata Verde,,3140555,0.00000000,0.00000000,2,40
Cachoeira de Pajeú,,3102704,0.00000000,0.53400000,1,41
Frei Gaspar,,3126802,0.00000000,0.00000000,1,42
Pavão,,3148509,0.00000000,0.00000000,1,43
