node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Belo Horizonte,,3106200,0.27762850,0.02700000,8,1
Brumadinho,,3109006,0.27228577,0.12500000,11,2
Esmeraldas,,3124104,0.23076040,0.04700000,9,3
Jaboticatubas,,3134608,0.21577042,0.16300000,4,4
Conceição do Mato Dentro,,3117504,0.21215712,0.00000000,9,5
Santana do Riacho,,3159001,0.19820332,0.00000000,3,6
Ouro Preto,,3146107,0.16035345,0.02100000,6,7
Santa Luzia,,3157807,0.14627826,0.03800000,6,8
Belo Vale,,3106408,0.14148016,0.00000000,6,9
Nova Lima,,3144805,0.12432180,0.01400000,6,10
Mariana,,3140001,0.11867207,0.02500000,4,11
Sabará,,3156700,0.11621347,0.03700000,6,12
Pedro Leopoldo,,3149309,0.10425360,0.00000000,7,13
Itabira,,3131703,0.09984771,0.04400000,6,14
Lagoa Santa,,3137601,0.09767783,0.04500000,5,15
Itabirito,,3131901,0.09521566,0.02700000,4,16
Alvorada de Minas,,3102407,0.09306931,0.00000000,3,17
Congonhas,,3118007,0.08629949,0.02900000,5,18
Caeté,,3110004,0.07627814,0.08100000,4,19
Serro,,3167103,0.07524752,0.07400000,2,20
Alvinópolis,,3102308,0.07342053,0.00000000,4,21
São José da Varginha,,3163102,0.07151202,0.36500000,3,22
Jeceaba,,3135407,0.06569721,0.00000000,6,23
Taquaraçu de Minas,,3168309,0.06094528,0.00000000,5,24
São Domingos do Prata,,3161007,0.06070344,0.00000000,5,25
Contagem,,3118601,0.06056241,0.02600000,5,26
Barão de Cocais,,3105400,0.05885988,0.00000000,4,27
Santo Antônio do Itambé,,3160207,0.05702970,0.00000000,2,28
Ribeirão das Neves,,3154606,0.05677120,0.04900000,5,29
Sete Lagoas,,3167202,0.05298055,0.02100000,4,30
Florestal,,3126000,0.04887847,0.00000000,4,31
Igarapé,,3130101,0.04698018,0.10700000,5,32
Betim,,3106705,0.04648899,0.02600000,7,33
Conselheiro Lafaiete,,3118304,0.04364954,0.00000000,7,34
Bom Jesus do Amparo,,3107703,0.04174000,0.00000000,4,35
Pará de Minas,,3147105,0.04069967,0.06600000,3,36
Nova União,,3136603,0.03914224,0.28000000,3,37
