node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Unaí,,3170404,0.54564394,0.01800000,8,1
Chapada Gaúcha,,3116159,0.49337121,0.13100000,4,2
Arinos,,3104502,0.45454545,0.00000000,5,3
Januária,,3135209,0.39109848,0.04900000,5,4
João Pinheiro,,3136306,0.21818182,0.10100000,6,5
Paracatu,,3147006,0.14545455,0.01700000,5,6
São Francisco,,3161106,0.13446970,0.03100000,4,7
Cônego Marinho,,3117836,0.12594697,0.00000000,3,8
Itacarambi,,3132107,0.12215909,0.00000000,2,9
Montalvânia,,3142700,0.08238636,0.00000000,3,10
São João das Missões,,3162450,0.07859848,0.00000000,3,11
Presidente Olegário,,3153400,0.07553662,0.00000000,5,12
Bonfinópolis de Minas,,3108206,0.05183081,0.00000000,4,13
Lagoa Grande,,3137536,0.02777778,0.17600000,4,14
Natalândia,,3144375,0.02582071,0.00000000,3,15
Pedras de Maria da Cruz,,3149150,0.02556818,0.00000000,2,16
Vazante,,3171006,0.01474116,0.00000000,3,17
Buritis,,3109303,0.01420455,0.00000000,3,18
Manga,,3139300,0.01420455,0.00000000,4,19
Formoso,,3126208,0.01325758,0.00000000,3,20
Brasilândia de Minas,,3108552,0.00833333,0.21800000,2,21
Lagamar,,3137106,0.00694444,0.00000000,3,22
Miravânia,,3142254,0.00000000,0.00000000,2,23
Guarda-Mor,,3128600,0.00000000,0.00000000,2,24
Pintópolis,,3150570,0.00000000,0.00000000,1,25
Uruana de Minas,,3170479,0.00000000,0.00000000,2,26
Icaraí de Minas,,3130051,0.00000000,0.00000000,1,27
Matias Cardoso,,3140852,0.00000000,0.00000000,0,28
Varjão de Minas,,3170750,0.00000000,0.22800000,1,29
Juvenília,,3136959,0.00000000,0.00000000,2,30
Bonito de Minas,,3108255,0.00000000,0.00000000,2,31
Dom Bosco,,3122470,0.00000000,0.00000000,2,32
São Gonçalo do Abaeté,,3161700,0.00000000,0.00000000,2,33
Cabeceira Grande,,3109451,0.00000000,0.00000000,1,34
