node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Grão Mogol,,3127800,0.41727450,0.00000000,8,1
Montes Claros,,3143302,0.41417006,0.01500000,9,2
Bocaiúva,,3107307,0.31208644,0.03200000,5,3
Olhos-d'Água,,3145455,0.24534161,0.00000000,2,4
Francisco Sá,,3126703,0.24351121,0.00000000,5,5
Diamantina,,3121605,0.23590540,0.00000000,5,6
Padre Carvalho,,3146255,0.22628789,0.31900000,3,7
Fruta de Leite,,3127073,0.21699255,0.00000000,5,8
Itacambira,,3132008,0.16220107,0.00000000,4,9
Claro dos Poções,,3116506,0.13586706,0.00000000,3,10
Coração de Jesus,,3118809,0.13284029,0.12900000,6,11
Várzea da Palma,,3170800,0.12944085,0.00000000,4,12
Rio Pardo de Minas,,3155603,0.12224855,0.00000000,8,13
Jequitaí,,3135605,0.11941539,0.00000000,3,14
Jaíba,,3135050,0.11788626,0.00000000,5,15
Berilo,,3106507,0.10451505,0.00000000,4,16
Pirapora,,3151206,0.10391782,0.00000000,2,17
Janaúba,,3135100,0.10281851,0.04600000,5,18
Buritizeiro,,3109402,0.08408982,0.06800000,2,19
São João da Ponte,,3162401,0.08041832,0.00000000,6,20
Salinas,,3157005,0.07702935,0.04000000,6,21
Senador Modestino Gonçalves,,3165909,0.07381749,0.00000000,6,22
Santa Fé de Minas,,3157609,0.06378404,0.00000000,2,23
Itamarandiba,,3132503,0.06378404,0.05000000,4,24
Gameleiras,,3127339,0.06052495,0.00000000,3,25
Porteirinha,,3152204,0.05928645,0.00000000,5,26
Monte Azul,,3142908,0.05872401,0.00000000,7,27
Varzelândia,,3170909,0.05479039,0.08500000,4,28
Capitão Enéas,,3112703,0.05238922,0.00000000,4,29
Engenheiro Navarro,,3123809,0.04965612,0.00000000,2,30
Pai Pedro,,3146552,0.04936025,0.00000000,5,31
Riacho dos Machados,,3154507,0.04817458,0.00000000,2,32
Datas,,3121001,0.04323937,0.00000000,3,33
São Romão,,3164209,0.04300048,0.16400000,3,34
Montezuma,,3143450,0.04204052,0.00000000,5,35
Carbonita,,3113503,0.04013378,0.18900000,3,36
Espinosa,,3124302,0.03994809,0.05400000,4,37
Santa Cruz de Salinas,,3157377,0.03941279,0.00000000,4,38
Francisco Dumont,,3126604,0.03907325,0.00000000,3,39
Taiobeiras,,3168002,0.03707164,0.00000000,5,40
Santo Antônio do Retiro,,3160454,0.03432431,0.00000000,4,41
São João do Paraíso,,3162708,0.02974044,0.00000000,5,42
Águas Vermelhas,,3101003,0.02824472,0.00000000,5,43
Campo Azul,,3111150,0.02775522,0.44400000,4,44
Brasília de Minas,,3108602,0.02693502,0.00000000,5,45
Ibiaí,,3129608,0.02605909,0.00000000,3,46
José Gonçalves de Minas,,3136520,0.02173913,0.40900000,3,47
Capelinha,,3112307,0.02173913,0.12200000,3,48
Lagoa dos Patos,,3137304,0.01986781,0.00000000,3,49
São João da Lagoa,,3162252,0.01865743,0.33300000,3,50
Patis,,3147956,0.01707008,0.00000000,4,51
Mirabela,,3142007,0.01630866,0.00000000,3,52
Mato Verde,,3141009,0.01395146,0.00000000,4,53
Nova Porteirinha,,3145059,0.01171422,0.00000000,2,54
Lassance,,3138104,0.01167383,0.00000000,2,55
Chapada do Norte,,3116100,0.01098901,0.00000000,3,56
Francisco Badaró,,3126505,0.01051123,0.00000000,2,57
Couto de Magalhães de Minas,,3120102,0.01003344,0.00000000,3,58
Vargem Grande do Rio Pardo,,3170651,0.00735834,0.00000000,4,59
Juramento,,3136801,0.00702914,0.00000000,3,60
Indaiabira,,3130655,0.00691383,0.00000000,3,61
Lontra,,3138658,0.00552171,0.00000000,3,62
Japonvar,,3135357,0.00536610,0.00000000,3,63
Ibiracatu,,3129657,0.00460743,0.00000000,3,64
Ponto Chique,,3152131,0.00423634,0.00000000,3,65
Glaucilândia,,3127354,0.00303392,0.00000000,2,66
Verdelândia,,3171030,0.00121237,0.00000000,3,67
Ubaí,,3170008,0.00119446,0.27600000,3,68
Luislândia,,3138682,0.00065297,0.00000000,2,69
Berizal,,3106655,0.00048575,0.00000000,2,70
Jenipapo de Minas,,3135456,0.00011945,0.00000000,2,71
São Gonçalo do Rio Preto,,3125507,0.00011945,0.00000000,3,72
Josenópolis,,3136579,0.00000000,0.00000000,2,73
Aricanduva,,3104452,0.00000000,0.00000000,2,74
Leme do Prado,,3138351,0.00000000,0.00000000,1,75
Mamonas,,3139250,0.00000000,0.00000000,1,76
Serranópolis de Minas,,3166956,0.00000000,0.36500000,1,77
Presidente Kubitschek,,3153301,0.00000000,0.00000000,1,78
Felício dos Santos,,3125408,0.00000000,0.00000000,2,79
Urucuia,,3170529,0.00000000,0.18400000,2,80
Ninheira,,3144656,0.00000000,0.00000000,2,81
Divisa Alegre,,3122355,0.00000000,0.00000000,1,82
Catuti,,3115474,0.00000000,0.00000000,3,83
Gouveia,,3127602,0.00000000,0.00000000,1,84
Guaraciama,,3128253,0.00000000,0.00000000,2,85
Riachinho,,3154457,0.00000000,0.19600000,2,86
Botumirim,,3108503,0.00000000,0.00000000,2,87
Cristália,,3120300,0.00000000,0.00000000,2,88
São João do Pacuí,,3162658,0.00000000,0.00000000,1,89
Curral de Dentro,,3120870,0.00000000,0.00000000,2,90
Rubelita,,3156502,0.00000000,0.00000000,2,91
Angelândia,,3102852,0.00000000,0.20800000,1,92
Novorizonte,,3145372,0.00000000,0.00000000,3,93
