node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Formiga,,3126109,0.41507016,0.04700000,7,1
Divinópolis,,3122306,0.20750633,0.02600000,7,2
Pimenta,,3150505,0.20515298,0.00000000,3,3
Candeias,,3112000,0.19456177,0.00000000,5,4
Piumhi,,3151503,0.19114332,0.00000000,5,5
Itapecerica,,3133501,0.16688981,0.00000000,7,6
Santo Antônio do Monte,,3160405,0.16524960,0.00000000,5,7
Oliveira,,3145604,0.16517368,0.00000000,6,8
Cláudio,,3116605,0.11417759,0.00000000,4,9
Campo Belo,,3111200,0.09698413,0.03100000,5,10
São Francisco de Paula,,3161205,0.08901771,0.00000000,5,11
São Roque de Minas,,3164308,0.07729469,0.00000000,3,12
Carmo da Mata,,3114006,0.06146078,0.00000000,4,13
Carmo do Cajuru,,3114204,0.05434783,0.13700000,4,14
Carmópolis de Minas,,3114501,0.05254658,0.00000000,3,15
Santo Antônio do Amparo,,3159902,0.04731539,0.09600000,4,16
Bom Sucesso,,3108008,0.03961353,0.00000000,3,17
Passa Tempo,,3147709,0.03961353,0.00000000,3,18
Medeiros,,3141306,0.03961353,0.00000000,2,19
São Gonçalo do Pará,,3161809,0.03397285,0.13700000,5,20
Pains,,3146503,0.03268921,0.00000000,5,21
Arcos,,3104205,0.02592593,0.03900000,4,22
Iguatama,,3130309,0.02479871,0.00000000,3,23
Santana do Jacaré,,3158805,0.02392915,0.00000000,3,24
Nova Serrana,,3145208,0.02254888,0.04200000,4,25
Perdigão,,3149705,0.01619278,0.13400000,3,26
Cristais,,3120201,0.01578100,0.00000000,3,27
São Sebastião do Oeste,,3164605,0.01501035,0.00000000,4,28
Cana Verde,,3111903,0.00925926,0.00000000,2,29
Perdões,,3149903,0.00805153,0.00000000,3,30
Doresópolis,,3123403,0.00772947,0.00000000,2,31
Camacho,,3110400,0.00566828,0.00000000,3,32
Igaratinga,,3130200,0.00241546,0.00000000,4,33
Pedra do Indaiá,,3148905,0.00237635,0.00000000,3,34
Vargem Bonita,,3170602,0.00144928,0.00000000,3,35
Conceição do Pará,,3117603,0.00096618,0.30300000,3,36
Itaúna,,3133808,0.00000000,0.01700000,2,37
Córrego Fundo,,3119955,0.00000000,0.00000000,3,38
Capitólio,,3112802,0.00000000,0.00000000,2,39
Capetinga,,3112406,0.00000000,0.00000000,1,40
Tapiraí,,3168200,0.00000000,0.00000000,1,41
Alpinópolis,,3101904,0.00000000,0.00000000,1,42
Ibituruna,,3130002,0.00000000,0.00000000,1,43
Piracema,,3150604,0.00000000,0.00000000,1,44
Bom Jesus da Penha,,3107604,0.00000000,0.00000000,1,45
Cássia,,3115102,0.00000000,0.00000000,1,46
Aguanil,,3100807,0.00000000,0.00000000,2,47
