node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Três Corações,,3169307,0.23805534,0.02100000,7,1
Pouso Alegre,,3152501,0.20997604,0.04000000,7,2
Alfenas,,3101607,0.20331498,0.06100000,8,3
Conceição do Rio Verde,,3117702,0.13488082,0.00000000,5,4
São Gonçalo do Sapucaí,,3162005,0.13410630,0.00000000,5,5
Machado,,3139003,0.13234898,0.00000000,7,6
Três Pontas,,3169406,0.13086025,0.00000000,4,7
Cruzília,,3120805,0.12246383,0.00000000,5,8
São Tomé das Letras,,3165206,0.11732060,0.00000000,3,9
Campos Gerais,,3111606,0.11538303,0.00000000,5,10
Piranguinho,,3151008,0.10738852,0.17600000,5,11
Varginha,,3170701,0.10628697,0.03500000,5,12
Carmo do Rio Claro,,3114402,0.10550162,0.00000000,5,13
Careaçu,,3113602,0.10342332,0.00000000,4,14
Alterosa,,3102001,0.10123290,0.00000000,5,15
Estiva,,3124500,0.10100538,0.00000000,6,16
Ouro Fino,,3146008,0.09689430,0.05000000,6,17
Itajubá,,3132404,0.09279911,0.03500000,5,18
São Sebastião da Bela Vista,,3164407,0.09248890,0.00000000,3,19
Aiuruoca,,3101201,0.08900822,0.00000000,6,20
Campanha,,3110905,0.08757577,0.10100000,4,21
Soledade de Minas,,3167806,0.08638768,0.00000000,5,22
Cabo Verde,,3109501,0.08514010,0.00000000,5,23
Muzambinho,,3144102,0.08294768,0.00000000,4,24
Espírito Santo do Dourado,,3124401,0.08112730,0.00000000,3,25
Boa Esperança,,3107109,0.07960499,0.00000000,6,26
Campestre,,3111002,0.07882398,0.07400000,6,27
Borda da Mata,,3108305,0.07696056,0.00000000,6,28
Andradas,,3102605,0.07492726,0.04000000,5,29
Carrancas,,3114600,0.07248828,0.00000000,4,30
Botelhos,,3108404,0.07007787,0.00000000,5,31
Santa Rita do Sapucaí,,3159605,0.06899250,0.03900000,5,32
Turvolândia,,3169802,0.06809958,0.00000000,4,33
Virgínia,,3171709,0.06781115,0.00000000,7,34
Carmo da Cachoeira,,3113909,0.06564462,0.00000000,4,35
São José da Barra,,3162948,0.06333034,0.00000000,2,36
Itanhandu,,3133105,0.06319652,0.00000000,5,37
Poço Fundo,,3151701,0.06271021,0.10100000,3,38
Cachoeira de Minas,,3109709,0.06223070,0.00000000,5,39
São Pedro da União,,3163904,0.06089843,0.00000000,5,40
Baependi,,3104908,0.06042261,0.00000000,4,41
Maria da Fé,,3139904,0.05628561,0.00000000,6,42
Poços de Caldas,,3151800,0.05478830,0.01900000,4,43
Conceição da Aparecida,,3117108,0.05452500,0.00000000,3,44
São João Batista do Glória,,3162203,0.05355235,0.00000000,3,45
Itutinga,,3134509,0.05252716,0.00000000,2,46
Divisa Nova,,3122405,0.05170041,0.00000000,4,47
São João da Mata,,3162302,0.05152304,0.00000000,3,48
Cambuí,,3110608,0.05124734,0.00000000,7,49
Heliodora,,3129202,0.05068995,0.00000000,4,50
Carmo de Minas,,3114105,0.05057696,0.00000000,6,51
Itamonte,,3133006,0.04807987,0.00000000,3,52
Guaxupé,,3128709,0.04807813,0.00000000,4,53
Cordislândia,,3119005,0.04783439,0.00000000,4,54
Nova Resende,,3145109,0.04587079,0.00000000,3,55
Caldas,,3110301,0.04452576,0.00000000,4,56
Pedralva,,3149101,0.04325035,0.00000000,4,57
Silvianópolis,,3167400,0.04288773,0.00000000,4,58
Santana da Vargem,,3158300,0.04220508,0.00000000,4,59
Jacuí,,3134806,0.04207994,0.00000000,4,60
Itumirim,,3134301,0.03972603,0.00000000,4,61
Elói Mendes,,3123601,0.03912380,0.06100000,4,62
Paraguaçu,,3147204,0.03523042,0.07400000,4,63
Delfim Moreira,,3121100,0.03461591,0.00000000,5,64
Seritinga,,3166402,0.03307988,0.00000000,5,65
Inconfidentes,,3130606,0.03289485,0.00000000,3,66
Cristina,,3120508,0.03271146,0.00000000,5,67
São José do Alegre,,3163201,0.03261815,0.00000000,3,68
Guaranésia,,3128303,0.03174832,0.00000000,4,69
Cambuquira,,3110707,0.03171608,0.00000000,4,70
Passos,,3147907,0.03159006,0.01500000,3,71
Paraisópolis,,3147303,0.03048771,0.00000000,6,72
Alagoa,,3101300,0.02990251,0.00000000,3,73
Brazópolis,,3108909,0.02966632,0.00000000,3,74
Lambari,,3137809,0.02949737,0.00000000,3,75
Bueno Brandão,,3109105,0.02840512,0.00000000,4,76
Santa Rita de Caldas,,3159209,0.02728648,0.00000000,4,77
Camanducaia,,3110509,0.02706824,0.00000000,7,78
Serrania,,3166907,0.02507771,0.00000000,3,79
Areado,,3104304,0.02418843,0.00000000,4,80
Bocaina de Minas,,3107208,0.02010831,0.00000000,3,81
São Sebastião do Paraíso,,3164704,0.01980029,0.04500000,5,82
Pouso Alto,,3152600,0.01975722,0.00000000,4,83
Monte Belo,,3143005,0.01944043,0.12300000,4,84
Liberdade,,3138500,0.01906410,0.00000000,3,85
Itapeva,,3133600,0.01700185,0.00000000,6,86
Natércia,,3144409,0.01630987,0.00000000,2,87
Juruaia,,3136900,0.01603860,0.00000000,4,88
Bom Repouso,,3107901,0.01592299,0.00000000,5,89
Congonhal,,3117900,0.01590814,0.00000000,4,90
Fortaleza de Minas,,3126307,0.01547859,0.46100000,4,91
Arantina,,3103603,0.01435267,0.00000000,3,92
Monsenhor Paulo,,3142601,0.01420346,0.00000000,4,93
São Sebastião do Rio Verde,,3164902,0.01415446,0.00000000,6,94
Ilicínea,,3130507,0.01341521,0.12600000,3,95
Dom Viçoso,,3122801,0.01311090,0.00000000,5,96
Andrelândia,,3102803,0.01260927,0.00000000,4,97
Minduri,,3141900,0.01252211,0.00000000,4,98
Conceição das Pedras,,3117207,0.01247655,0.00000000,2,99
Monte Santo de Minas,,3143203,0.01198201,0.00000000,4,100
Ipuiúna,,3131505,0.01108782,0.00000000,3,101
Consolação,,3118502,0.01010443,0.00000000,4,102
Serranos,,3167004,0.00967941,0.00000000,4,103
Munhoz,,3143807,0.00920046,0.00000000,4,104
Jesuânia,,3135902,0.00870429,0.00000000,2,105
São Vicente de Minas,,3165305,0.00861867,0.00000000,4,106
Senador Amaral,,3165578,0.00849770,0.00000000,5,107
Tocos do Moji,,3169059,0.00794782,0.00000000,3,108
Conceição dos Ouros,,3117801,0.00792062,0.00000000,3,109
Caxambu,,3115508,0.00709544,0.00000000,2,110
