node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Carlos Chagas,,3113701,0.15032680,0.00000000,4,1
Umburatiba,,3170305,0.10457516,0.00000000,4,2
Nanuque,,3144300,0.05882353,0.00000000,2,3
Machacalis,,3138906,0.05555556,0.00000000,5,4
Ituiutaba,,3134202,0.05228758,0.00000000,3,5
Crisólita,,3120151,0.04248366,0.00000000,3,6
Gurinhatã,,3129103,0.02614379,0.00000000,2,7
Capinópolis,,3112604,0.02614379,0.00000000,2,8
Águas Formosas,,3100906,0.02614379,0.08700000,3,9
Bertópolis,,3106606,0.01797386,0.00000000,3,10
Fronteira dos Vales,,3127057,0.00490196,0.00000000,3,11
Santa Helena de Minas,,3157658,0.00326797,0.00000000,3,12
Setubinha,,3165552,0.00000000,0.16400000,0,13
Cachoeira Dourada,,3109808,0.00000000,0.00000000,1,14
Teófilo Otoni,,3168606,0.00000000,0.04500000,1,15
Ipiaçu,,3131406,0.00000000,0.00000000,1,16
Araguari,,3103504,0.00000000,0.01300000,0,17
Serra dos Aimorés,,3166709,0.00000000,0.00000000,1,18
Santa Vitória,,3159803,0.00000000,0.00000000,1,19
