node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Governador Valadares,,3127701,0.38347935,0.03100000,9,1
Caratinga,,3113404,0.26175977,0.05500000,12,2
Conselheiro Pena,,3118403,0.22068985,0.00000000,9,3
Coroaci,,3119203,0.20211083,0.00000000,5,4
Inhapim,,3130903,0.18698413,0.00000000,11,5
Belo Oriente,,3106309,0.18158347,0.00000000,4,6
Santana do Paraíso,,3158953,0.15462756,0.08600000,4,7
Guanhães,,3128006,0.14480186,0.10100000,6,8
Açucena,,3100500,0.14421213,0.00000000,4,9
Galiléia,,3127305,0.11349011,0.00000000,4,10
Alvarenga,,3102209,0.11183217,0.00000000,4,11
Peçanha,,3148608,0.09742791,0.00000000,5,12
Alpercata,,3101805,0.09729487,0.00000000,3,13
Central de Minas,,3115706,0.09268359,0.00000000,5,14
Mendes Pimentel,,3141504,0.09229537,0.00000000,4,15
Engenheiro Caldas,,3123700,0.09099848,0.00000000,5,16
Periquito,,3149952,0.08456402,0.00000000,2,17
Naque,,3144359,0.08305620,0.25300000,3,18
Mesquita,,3141702,0.08273972,0.00000000,5,19
São Pedro do Suaçuí,,3164100,0.07912209,0.31400000,5,20
Divino das Laranjeiras,,3122108,0.07515254,0.00000000,4,21
São João Evangelista,,3162807,0.07451794,0.00000000,4,22
Nacip Raydan,,3144201,0.06151386,0.00000000,4,23
Tarumirim,,3168408,0.06001215,0.00000000,5,24
Jampruca,,3135076,0.05908973,0.00000000,3,25
Bom Jesus do Galho,,3107802,0.05898430,0.10900000,5,26
Santa Maria do Suaçuí,,3158201,0.05533698,0.00000000,5,27
Coronel Fabriciano,,3119401,0.05336579,0.00000000,4,28
Iapu,,3129301,0.04859229,0.00000000,5,29
Pocrane,,3151909,0.04844159,0.00000000,6,30
Ipanema,,3131208,0.04726088,0.00000000,5,31
Santa Rita do Itueto,,3159506,0.04625750,0.00000000,5,32
Itabirinha,,3131802,0.03491479,0.00000000,4,33
São José do Jacuri,,3163508,0.02927474,0.26300000,3,34
Campanário,,3110806,0.02867034,0.00000000,3,35
Virginópolis,,3171808,0.02599591,0.00000000,2,36
Sobrália,,3167707,0.02579165,0.00000000,2,37
São Félix de Minas,,3161056,0.02545337,0.00000000,3,38
Itanhomi,,3133204,0.02499724,0.00000000,5,39
Pingo-d'Água,,3150539,0.02381353,0.34000000,3,40
Sardoá,,3165503,0.01981205,0.33600000,2,41
Timóteo,,3168705,0.01530262,0.00000000,4,42
Mathias Lobato,,3171501,0.01525352,0.55100000,2,43
Tumiritinga,,3169505,0.01502271,0.00000000,4,44
Aimorés,,3101102,0.01496649,0.00000000,4,45
Marliéria,,3140308,0.01445102,0.00000000,3,46
São João do Manteninha,,3162575,0.01400168,0.00000000,2,47
Sabinópolis,,3156809,0.01367365,0.00000000,2,48
Frei Inocêncio,,3126901,0.01269374,0.00000000,3,49
Santa Efigênia de Minas,,3157500,0.01115319,0.00000000,2,50
Gonzaga,,3127503,0.01090773,0.30900000,2,51
Ipatinga,,3131307,0.01061485,0.02300000,3,52
Cantagalo,,3112059,0.01039340,0.00000000,3,53
Imbé de Minas,,3130556,0.01021755,0.00000000,6,54
José Raydan,,3136553,0.00991821,0.00000000,2,55
Taparuba,,3168051,0.00868524,0.00000000,3,56
Pescador,,3150000,0.00823340,0.00000000,2,57
Dom Cavati,,3122504,0.00738381,0.00000000,3,58
Nova Módica,,3144904,0.00691420,0.00000000,3,59
Resplendor,,3154309,0.00660986,0.00000000,4,60
Paulistas,,3148400,0.00610334,0.00000000,2,61
Antônio Dias,,3103009,0.00513360,0.00000000,3,62
São Sebastião do Maranhão,,3164506,0.00411870,0.16200000,3,63
Ipaba,,3131158,0.00389929,0.00000000,2,64
São José do Divino,,3163300,0.00305070,0.00000000,3,65
Ubaporanga,,3170057,0.00278364,0.12500000,4,66
Virgolândia,,3171907,0.00152084,0.00000000,3,67
Bugre,,3109253,0.00115215,0.00000000,2,68
Mantena,,3139607,0.00084157,0.06100000,2,69
Itambacuri,,3132701,0.00066625,0.00000000,2,70
Jaguaraçu,,3135001,0.00052598,0.00000000,3,71
Itueta,,3134103,0.00035066,0.00000000,3,72
São João do Oriente,,3162609,0.00028052,0.22800000,2,73
Materlândia,,3140605,0.00021039,0.00000000,2,74
São Geraldo do Baixio,,3161650,0.00019286,0.00000000,2,75
Mutum,,3144003,0.00017533,0.00000000,2,76
Cuparaque,,3120839,0.00017533,0.00000000,3,77
Santa Rita de Minas,,3159357,0.00000000,0.00000000,1,78
Entre Folhas,,3123858,0.00000000,0.00000000,3,79
Senhora do Porto,,3166105,0.00000000,0.00000000,2,80
Dores de Guanhães,,3123106,0.00000000,0.00000000,2,81
Joanésia,,3136108,0.00000000,0.00000000,1,82
Piedade de Caratinga,,3150158,0.00000000,0.00000000,3,83
Marilac,,3140100,0.00000000,0.00000000,2,84
São Sebastião do Anta,,3164472,0.00000000,0.00000000,3,85
São José da Safira,,3163003,0.00000000,0.00000000,1,86
Córrego Danta,,3119807,0.00000000,0.00000000,1,87
Nova Belém,,3144672,0.00000000,0.00000000,1,88
Frei Lagonegro,,3126950,0.00000000,0.00000000,1,89
Goiabeira,,3127370,0.00000000,0.00000000,2,90
Vargem Alegre,,3170578,0.00000000,0.00000000,3,91
Conceição de Ipanema,,3117405,0.00000000,0.36700000,1,92
Córrego Novo,,3120003,0.00000000,0.00000000,2,93
Água Boa,,3100609,0.00000000,0.00000000,2,94
Fernandes Tourinho,,3125804,0.00000000,0.00000000,1,95
São Domingos das Dores,,3160959,0.00000000,0.00000000,3,96
Bambuí,,3105103,0.00000000,0.00000000,1,97
São Geraldo da Piedade,,3161601,0.00000000,0.00000000,1,98
Capitão Andrade,,3112653,0.00000000,0.00000000,2,99
