node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Leopoldina,,3138401,0.34180226,0.03300000,9,1
Fervedouro,,3125952,0.32979418,0.00000000,5,2
Muriaé,,3143906,0.31152074,0.00000000,8,3
Divino,,3122009,0.29688712,0.00000000,5,4
Miradouro,,3142106,0.24614717,0.00000000,4,5
Laranjal,,3138005,0.23547679,0.00000000,5,6
São João Nepomuceno,,3162906,0.20593904,0.00000000,6,7
Luisburgo,,3138674,0.20137523,0.00000000,4,8
Juiz de Fora,,3136702,0.15537383,0.02300000,13,9
Ubá,,3169901,0.13219218,0.06500000,7,10
Guidoval,,3128808,0.12642555,0.22400000,7,11
Bicas,,3106903,0.12607027,0.00000000,7,12
Araponga,,3103702,0.12597774,0.00000000,3,13
Ervália,,3124005,0.12431011,0.00000000,5,14
Manhuaçu,,3139409,0.11609649,0.05400000,8,15
Miraí,,3142205,0.09194021,0.00000000,6,16
Dores do Turvo,,3123304,0.08981901,0.00000000,5,17
Cataguases,,3115300,0.08882945,0.04700000,6,18
Manhumirim,,3139508,0.07795430,0.08100000,4,19
Tabuleiro,,3167905,0.07557905,0.00000000,4,20
São Miguel do Anta,,3163805,0.07498629,0.00000000,5,21
Rio Pomba,,3155801,0.07378056,0.00000000,5,22
Guiricema,,3129004,0.07313233,0.00000000,5,23
Viçosa,,3171303,0.06961390,0.00000000,5,24
Rio Novo,,3155405,0.06599845,0.00000000,5,25
Santos Dumont,,3160702,0.06438784,0.07300000,7,26
Orizânia,,3145877,0.06140571,0.00000000,3,27
Martins Soares,,3140530,0.05516597,0.00000000,3,28
Carangola,,3113305,0.05505196,0.05200000,6,29
Astolfo Dutra,,3104601,0.04796418,0.00000000,5,30
Além Paraíba,,3101508,0.04532055,0.05200000,4,31
Durandé,,3123528,0.04514013,0.00000000,4,32
Santa Margarida,,3157906,0.04438055,0.09800000,4,33
Eugenópolis,,3124906,0.04421263,0.14800000,5,34
Paula Cândido,,3148301,0.04187798,0.00000000,5,35
Canaã,,3111705,0.03874542,0.00000000,3,36
Alto Rio Doce,,3102100,0.03655196,0.00000000,3,37
Espera Feliz,,3124203,0.03587993,0.00000000,4,38
Matipó,,3140902,0.03195673,0.00000000,5,39
Abre Campo,,3100302,0.03112417,0.00000000,4,40
Tocantins,,3169000,0.03016005,0.10800000,3,41
Visconde do Rio Branco,,3172004,0.02952075,0.08300000,4,42
Divinésia,,3121902,0.02944181,0.00000000,3,43
Porto Firme,,3152303,0.02748306,0.00000000,4,44
Mercês,,3141603,0.02699452,0.00000000,3,45
Silveirânia,,3167301,0.02469476,0.00000000,2,46
Chiador,,3116209,0.02344224,0.00000000,3,47
Piraúba,,3151305,0.02329115,0.00000000,4,48
Brás Pires,,3108701,0.02249416,0.00000000,4,49
Itamarati de Minas,,3132602,0.02241807,0.00000000,3,50
Caparaó,,3112109,0.02214281,0.00000000,3,51
Senador Firmino,,3165701,0.02209085,0.00000000,5,52
Argirita,,3104403,0.02161087,0.00000000,3,53
Lima Duarte,,3138609,0.02016152,0.00000000,4,54
São Sebastião da Vargem Alegre,,3164431,0.01967035,0.00000000,4,55
Maripá de Minas,,3140209,0.01892115,0.00000000,6,56
Tombos,,3169208,0.01766973,0.00000000,3,57
Piranga,,3150802,0.01763665,0.00000000,4,58
Simonésia,,3167608,0.01698668,0.00000000,3,59
São Francisco do Glória,,3161403,0.01643978,0.00000000,3,60
Teixeiras,,3168507,0.01636784,0.13300000,3,61
Pequeri,,3149507,0.01626230,0.00000000,5,62
Caputira,,3112901,0.01568561,0.00000000,3,63
Volta Grande,,3172103,0.01513814,0.00000000,3,64
Santo Antônio do Grama,,3160108,0.01502683,0.00000000,2,65
Santa Bárbara do Monte Verde,,3157278,0.01502683,0.54200000,2,66
Recreio,,3154101,0.01443848,0.00000000,2,67
Descoberto,,3121308,0.01442126,0.00000000,4,68
Pedra Bonita,,3148756,0.01336002,0.00000000,3,69
Pedra do Anta,,3148806,0.01299448,0.45700000,3,70
Santo Antônio do Aventureiro,,3160009,0.01283189,0.00000000,4,71
Piau,,3150109,0.01276654,0.00000000,4,72
Santana do Deserto,,3158607,0.01263760,0.00000000,4,73
Vieiras,,3171402,0.01216728,0.00000000,3,74
Paiva,,3146602,0.01207694,0.00000000,3,75
Cipotânea,,3116308,0.01173378,0.00000000,2,76
Bias Fortes,,3106804,0.01143428,0.00000000,4,77
Coimbra,,3116704,0.01123780,0.00000000,3,78
Guarani,,3128402,0.01045588,0.21400000,3,79
Faria Lemos,,3125309,0.01034766,1.00000000,2,80
Aracitaba,,3103306,0.01029819,0.00000000,4,81
Presidente Bernardes,,3153103,0.00998701,0.00000000,5,82
Senhora de Oliveira,,3166006,0.00790473,0.00000000,3,83
Lajinha,,3137700,0.00745379,0.00000000,2,84
São José do Mantimento,,3163607,0.00745379,0.00000000,2,85
Lamim,,3137908,0.00692819,0.00000000,3,86
Mar de Espanha,,3139805,0.00689795,0.25900000,5,87
Reduto,,3154150,0.00624400,0.00000000,3,88
São Geraldo,,3161502,0.00566202,0.31200000,2,89
Oliveira Fortes,,3145703,0.00529011,0.00000000,3,90
