node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Conceição do Mato Dentro,,3117504,0.17824301,0.00000000,14,1
Formiga,,3126109,0.16760303,0.04700000,11,2
Ferros,,3125903,0.16581748,0.17400000,10,3
Pompéu,,3152006,0.16446116,0.05300000,8,4
Curvelo,,3120904,0.15304708,0.01900000,11,5
Bocaiúva,,3107307,0.15286121,0.03200000,13,6
São Domingos do Prata,,3161007,0.13622983,0.00000000,12,7
Diamantina,,3121605,0.13122953,0.00000000,12,8
Martinho Campos,,3140506,0.13069150,0.00000000,7,9
Santo Antônio do Monte,,3160405,0.12827760,0.00000000,11,10
Santana de Pirapama,,3158508,0.12816532,0.00000000,9,11
Bom Despacho,,3107406,0.12582768,0.03000000,7,12
Guapé,,3128105,0.12281591,0.00000000,9,13
Antônio Dias,,3103009,0.11135332,0.00000000,7,14
Carmo do Rio Claro,,3114402,0.10841646,0.00000000,10,15
Alfenas,,3101607,0.09184758,0.06100000,10,16
Sacramento,,3156908,0.09057560,0.12400000,10,17
Caratinga,,3113404,0.08993493,0.05500000,18,18
Governador Valadares,,3127701,0.08954146,0.03100000,17,19
Ouro Preto,,3146107,0.08513998,0.02100000,10,20
Tiros,,3168903,0.08241871,0.19700000,12,21
São João del Rei,,3162500,0.08233230,0.01700000,12,22
Grão Mogol,,3127800,0.07379224,0.00000000,12,23
Buritizeiro,,3109402,0.07238165,0.06800000,11,24
Barbacena,,3105608,0.07193077,0.00000000,13,25
Brumadinho,,3109006,0.07168580,0.12500000,13,26
Açucena,,3100500,0.07089207,0.00000000,11,27
Lassance,,3138104,0.06798883,0.00000000,8,28
Carrancas,,3114600,0.06768446,0.00000000,8,29
Santa Bárbara,,3157203,0.06760762,0.00000000,10,30
São Roque de Minas,,3164308,0.06573893,0.00000000,8,31
Alvinópolis,,3102308,0.06455696,0.00000000,7,32
São Gonçalo do Abaeté,,3161700,0.06357357,0.00000000,7,33
Piranga,,3150802,0.06320838,0.00000000,9,34
Montes Claros,,3143302,0.06130427,0.01500000,11,35
Abre Campo,,3100302,0.05970075,0.00000000,9,36
Machado,,3139003,0.05692808,0.00000000,8,37
Raul Soares,,3154002,0.05605535,0.00000000,11,38
Luminárias,,3138708,0.05514687,0.00000000,8,39
Uberaba,,3170107,0.05356090,0.01300000,9,40
Itapecerica,,3133501,0.05338234,0.00000000,9,41
Carmo da Cachoeira,,3113909,0.05316462,0.00000000,8,42
Patos de Minas,,3148004,0.05272897,0.06000000,10,43
Três Corações,,3169307,0.05151923,0.02100000,9,44
Serro,,3167103,0.05079252,0.07400000,10,45
Mariana,,3140001,0.05078940,0.02500000,8,46
Itambacuri,,3132701,0.05077956,0.00000000,10,47
Piumhi,,3151503,0.05012932,0.00000000,8,48
Morada Nova de Minas,,3143500,0.04983285,0.00000000,7,49
Oliveira,,3145604,0.04946698,0.00000000,8,50
Gouveia,,3127602,0.04943381,0.00000000,6,51
Resende Costa,,3154200,0.04903453,0.00000000,8,52
Muriaé,,3143906,0.04857642,0.00000000,12,53
Turmalina,,3169703,0.04857517,0.00000000,7,54
Teófilo Otoni,,3168606,0.04798415,0.04500000,12,55
Jaboticatubas,,3134608,0.04772984,0.16300000,10,56
Nepomuceno,,3144607,0.04541744,0.00000000,8,57
Rio Casca,,3154903,0.04526854,0.12500000,9,58
Perdizes,,3149804,0.04331639,0.17800000,8,59
Araponga,,3103702,0.04238863,0.00000000,8,60
Belo Vale,,3106408,0.04168999,0.00000000,7,61
Leopoldina,,3138401,0.04132780,0.03300000,12,62
Luz,,3138807,0.04096901,0.00000000,10,63
Três Marias,,3169356,0.04068778,0.00000000,6,64
Serra do Salitre,,3166808,0.04041760,0.00000000,7,65
Juiz de Fora,,3136702,0.04034189,0.02300000,14,66
Rio Pardo de Minas,,3155603,0.03989963,0.00000000,14,67
Campestre,,3111002,0.03969316,0.07400000,9,68
Ervália,,3124005,0.03938059,0.00000000,10,69
Itatiaiuçu,,3133709,0.03888146,0.00000000,7,70
Botumirim,,3108503,0.03864699,0.00000000,7,71
Carandaí,,3113206,0.03813658,0.00000000,11,72
Santos Dumont,,3160702,0.03769038,0.07300000,9,73
Buenópolis,,3109204,0.03727835,0.17700000,5,74
Felixlândia,,3125705,0.03701406,0.00000000,6,75
Carmo do Cajuru,,3114204,0.03682669,0.13700000,7,76
Coronel Fabriciano,,3119401,0.03650239,0.00000000,6,77
Divinópolis,,3122306,0.03648577,0.02600000,8,78
Corinto,,3119104,0.03607676,0.00000000,7,79
Campo Belo,,3111200,0.03598164,0.03100000,7,80
Laranjal,,3138005,0.03585224,0.00000000,6,81
Timóteo,,3168705,0.03525396,0.00000000,7,82
Candeias,,3112000,0.03450682,0.00000000,7,83
Iapu,,3129301,0.03371004,0.00000000,8,84
Cláudio,,3116605,0.03370094,0.00000000,7,85
Coromandel,,3119302,0.03356314,0.00000000,8,86
Bambuí,,3105103,0.03251081,0.00000000,8,87
Itacambira,,3132008,0.03223721,0.00000000,6,88
João Pinheiro,,3136306,0.03209076,0.10100000,7,89
Ponto dos Volantes,,3152170,0.03188355,0.00000000,9,90
Periquito,,3149952,0.03184359,0.00000000,6,91
Augusto de Lima,,3104809,0.03160297,0.00000000,6,92
Santana do Riacho,,3159001,0.03109420,0.00000000,7,93
Esmeraldas,,3124104,0.03049625,0.04700000,13,94
Joanésia,,3136108,0.03018333,0.00000000,5,95
Pedra Bonita,,3148756,0.03006871,0.00000000,7,96
Uberlândia,,3170206,0.03000489,0.02000000,7,97
Jequeri,,3135506,0.02950659,0.12600000,9,98
Minas Novas,,3141801,0.02945984,0.00000000,7,99
Conceição do Rio Verde,,3117702,0.02885202,0.00000000,8,100
Nazareno,,3144508,0.02866861,0.00000000,7,101
Braúnas,,3108800,0.02837614,0.00000000,5,102
Itabirito,,3131901,0.02775982,0.02700000,6,103
Cristais,,3120201,0.02758330,0.00000000,6,104
São Francisco de Paula,,3161205,0.02733587,0.00000000,7,105
Boa Esperança,,3107109,0.02697585,0.00000000,9,106
São Tiago,,3165008,0.02638528,0.00000000,7,107
Itabira,,3131703,0.02636627,0.04400000,9,108
Jeceaba,,3135407,0.02621172,0.00000000,6,109
Caraí,,3113008,0.02620093,0.00000000,8,110
Itaguara,,3132206,0.02619134,0.11100000,7,111
Jequitinhonha,,3135803,0.02618749,0.07200000,9,112
Novo Cruzeiro,,3145307,0.02604415,0.00000000,8,113
Unaí,,3170404,0.02587587,0.01800000,10,114
São João Nepomuceno,,3162906,0.02585494,0.00000000,9,115
Ipuiúna,,3131505,0.02557135,0.00000000,8,116
Guanhães,,3128006,0.02514487,0.10100000,9,117
Araçuaí,,3103405,0.02497560,0.09200000,9,118
Presidente Bernardes,,3153103,0.02486122,0.00000000,6,119
