node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
São João del Rei,,3162500,0.16743080,0.01700000,11,1
Barbacena,,3105608,0.14464189,0.00000000,11,2
Carandaí,,3113206,0.08046312,0.00000000,9,3
Prados,,3152709,0.05852884,0.00000000,8,4
Ponte Nova,,3152105,0.03191057,0.05500000,6,5
Piedade do Rio Grande,,3150307,0.03150407,0.00000000,4,6
Lagoa Dourada,,3137403,0.02135017,0.00000000,4,7
Santa Cruz do Escalvado,,3157401,0.01951220,0.00000000,4,8
Coronel Xavier Chaves,,3119708,0.01940767,0.00000000,6,9
Ibertioga,,3129400,0.01931862,0.00000000,4,10
Ritápolis,,3156106,0.01338850,0.00000000,5,11
Oratórios,,3145851,0.01097561,0.00000000,2,12
Resende Costa,,3154200,0.01078252,0.00000000,4,13
Rio Doce,,3155009,0.00772358,0.00000000,4,14
Senhora dos Remédios,,3166204,0.00759292,0.00000000,5,15
Conceição da Barra de Minas,,3115201,0.00611789,0.00000000,4,16
Nazareno,,3144508,0.00571138,0.00000000,3,17
Desterro do Melo,,3121506,0.00522696,0.00000000,4,18
Barra Longa,,3105707,0.00447154,0.00000000,4,19
Tiradentes,,3168804,0.00447154,0.00000000,4,20
Ressaquinha,,3154408,0.00397842,0.00000000,4,21
Alfredo Vasconcelos,,3101631,0.00319444,0.00000000,4,22
São Tiago,,3165008,0.00288618,0.00000000,4,23
Capela Nova,,3112208,0.00132114,0.00000000,3,24
Acaiaca,,3100401,0.00101626,0.00000000,3,25
Caranaíba,,3113107,0.00000000,0.00000000,2,26
Antônio Carlos,,3102902,0.00000000,0.00000000,2,27
Santana do Garambéu,,3158706,0.00000000,0.00000000,1,28
Santa Cruz de Minas,,3157336,0.00000000,0.00000000,2,29
Piedade de Ponte Nova,,3150208,0.00000000,0.00000000,2,30
Barroso,,3105905,0.00000000,0.00000000,4,31
Ribeirão Vermelho,,3154705,0.00000000,0.00000000,0,32
Dom Silvério,,3122702,0.00000000,0.00000000,2,33
Luminárias,,3138708,0.00000000,0.00000000,0,34
Nepomuceno,,3144607,0.00000000,0.00000000,0,35
Madre de Deus de Minas,,3139102,0.00000000,0.00000000,2,36
Guaraciaba,,3128204,0.00000000,0.00000000,2,37
Jequeri,,3135506,0.00000000,0.12600000,1,38
Dores de Campos,,3123007,0.00000000,0.00000000,4,39
Santa Bárbara do Tugúrio,,3157302,0.00000000,0.00000000,2,40
Rio Casca,,3154903,0.00000000,0.12500000,2,41
Raul Soares,,3154002,0.00000000,0.00000000,0,42
