node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Luz,,3138807,0.08008658,0.00000000,6,1
Bom Despacho,,3107406,0.07720058,0.03000000,6,2
Dores do Indaiá,,3123205,0.06204906,0.00000000,6,3
Martinho Campos,,3140506,0.01731602,0.00000000,4,4
Moema,,3142403,0.00793651,0.00000000,3,5
Estrela do Indaiá,,3124708,0.00793651,0.00000000,3,6
Quartel Geral,,3153707,0.00360750,0.00000000,3,7
Leandro Ferreira,,3138302,0.00360750,0.51400000,3,8
Lagoa da Prata,,3137205,0.00216450,0.06200000,3,9
Serra da Saudade,,3166600,0.00216450,0.00000000,3,10
Fortuna de Minas,,3126406,0.00000000,0.00000000,1,11
Cachoeira da Prata,,3109600,0.00000000,0.00000000,1,12
Japaraíba,,3135308,0.00000000,0.00000000,2,13
Caetanópolis,,3109907,0.00000000,0.00000000,0,14
Morro da Garça,,3143609,0.00000000,0.00000000,0,15
Monjolos,,3142502,0.00000000,0.00000000,2,16
Presidente Juscelino,,3153202,0.00000000,0.00000000,2,17
Araçaí,,3103207,0.00000000,0.00000000,1,18
Araújos,,3103900,0.00000000,0.00000000,2,19
Baldim,,3105004,0.00000000,0.00000000,0,20
Cordisburgo,,3118908,0.00000000,0.00000000,1,21
Santo Hipólito,,3160603,0.00000000,0.00000000,2,22
Capim Branco,,3112505,0.00000000,0.00000000,0,23
