node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Jequitinhonha,,3135803,0.34366901,0.07200000,9,1
Ponto dos Volantes,,3152170,0.31762548,0.00000000,9,2
Novo Cruzeiro,,3145307,0.22773445,0.00000000,5,3
Araçuaí,,3103405,0.18270728,0.09200000,7,4
Caraí,,3113008,0.16937795,0.00000000,7,5
Rubim,,3156601,0.15307021,0.00000000,7,6
Almenara,,3101706,0.13650172,0.04000000,6,7
Ladainha,,3137007,0.12543554,0.11600000,4,8
Jacinto,,3134707,0.10223451,0.14900000,7,9
Minas Novas,,3141801,0.08594657,0.00000000,2,10
Itinga,,3134004,0.08429970,0.12800000,6,11
Novo Oriente de Minas,,3145356,0.07342942,0.00000000,5,12
Medina,,3141405,0.07182038,0.08400000,6,13
Pedra Azul,,3148707,0.05858411,0.00000000,5,14
Joaíma,,3136009,0.05280895,0.00000000,5,15
Itaipé,,3132305,0.04698486,0.15600000,4,16
Turmalina,,3169703,0.04413473,0.00000000,2,17
Bandeira,,3105202,0.03240142,0.00000000,5,18
Felisburgo,,3125606,0.03137648,0.00000000,4,19
Divisópolis,,3122454,0.02987667,0.00000000,4,20
Poté,,3152402,0.02148664,0.00000000,3,21
Malacacheta,,3139201,0.02148664,0.00000000,3,22
Santo Antônio do Jacinto,,3160306,0.01533643,0.00000000,4,23
Itaobim,,3133303,0.01064364,0.00000000,4,24
Catuji,,3115458,0.00684604,0.00000000,3,25
Coronel Murta,,3119500,0.00361982,0.19700000,3,26
Rio do Prado,,3155108,0.00178087,0.00000000,3,27
Jordânia,,3136504,0.00154859,0.36200000,3,28
Palmópolis,,3146750,0.00096787,0.00000000,3,29
Santa Maria do Salto,,3158102,0.00096787,0.34400000,3,30
Salto da Divisa,,3157104,0.00058072,0.00000000,3,31
Ouro Verde de Minas,,3146206,0.00000000,0.00000000,2,32
Veredinha,,3171071,0.00000000,0.31200000,1,33
Comercinho,,3117009,0.00000000,0.00000000,2,34
Monte Formoso,,3143153,0.00000000,0.00000000,3,35
Padre Paraíso,,3146305,0.00000000,0.00000000,3,36
Virgem da Lapa,,3171600,0.00000000,0.00000000,2,37
Franciscópolis,,3126752,0.00000000,0.00000000,2,38
Ataléia,,3104700,0.00000000,0.00000000,2,39
Mata Verde,,3140555,0.00000000,0.00000000,2,40
Cachoeira de Pajeú,,3102704,0.00000000,0.53400000,2,41
Frei Gaspar,,3126802,0.00000000,0.00000000,2,42
Pavão,,3148509,0.00000000,0.00000000,1,43
