node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Jaboticatubas,,3134608,0.26424796,0.16300000,9,1
Brumadinho,,3109006,0.25131711,0.12500000,13,2
Esmeraldas,,3124104,0.19109523,0.04700000,11,3
Santa Bárbara,,3157203,0.18351511,0.00000000,10,4
Ouro Preto,,3146107,0.15466032,0.02100000,9,5
Conceição do Mato Dentro,,3117504,0.15409163,0.00000000,11,6
Itabira,,3131703,0.15095325,0.04400000,9,7
Belo Horizonte,,3106200,0.13952013,0.02700000,8,8
Santana do Riacho,,3159001,0.13054264,0.00000000,6,9
Belo Vale,,3106408,0.11992637,0.00000000,7,10
Itambé do Mato Dentro,,3132800,0.08061248,0.00000000,7,11
Santa Luzia,,3157807,0.08016972,0.03800000,6,12
São Gonçalo do Rio Abaixo,,3161908,0.07933246,0.00000000,6,13
Pedro Leopoldo,,3149309,0.07771853,0.00000000,8,14
Serro,,3167103,0.07623762,0.07400000,5,15
Matozinhos,,3141108,0.07241416,0.00000000,5,16
Itabirito,,3131901,0.06561399,0.02700000,6,17
Sete Lagoas,,3167202,0.06158119,0.02100000,6,18
Congonhas,,3118007,0.05827259,0.02900000,6,19
Caeté,,3110004,0.05802038,0.08100000,8,20
São Domingos do Prata,,3161007,0.04919268,0.00000000,6,21
Santa Maria de Itabira,,3158003,0.04915354,0.00000000,5,22
Jeceaba,,3135407,0.04611214,0.00000000,6,23
Ferros,,3125903,0.04536557,0.17400000,6,24
Pará de Minas,,3147105,0.04316009,0.06600000,5,25
Mateus Leme,,3140704,0.03860351,0.03600000,5,26
Santana de Pirapama,,3158508,0.03809248,0.00000000,4,27
Betim,,3106705,0.03780091,0.02600000,7,28
Jequitibá,,3135704,0.03638024,0.00000000,3,29
Itatiaiuçu,,3133709,0.03346765,0.00000000,5,30
Conselheiro Lafaiete,,3118304,0.03263620,0.00000000,7,31
São José da Varginha,,3163102,0.03214009,0.36500000,4,32
Onça de Pitangui,,3145802,0.03107077,0.00000000,5,33
Itaverava,,3133907,0.02824394,0.00000000,5,34
Igarapé,,3130101,0.02797501,0.10700000,5,35
Mariana,,3140001,0.02738834,0.02500000,5,36
Juatuba,,3136652,0.02737332,0.00000000,6,37
Nova Lima,,3144805,0.02629987,0.01400000,6,38
Rio Piracicaba,,3155702,0.02627229,0.00000000,6,39
Nova Era,,3144706,0.02590490,0.00000000,4,40
Taquaraçu de Minas,,3168309,0.02517144,0.00000000,5,41
Nova União,,3136603,0.02419143,0.28000000,5,42
Paraopeba,,3147402,0.02411241,0.00000000,3,43
Vespasiano,,3171204,0.02190120,0.01200000,7,44
Sabará,,3156700,0.02111487,0.03700000,6,45
Alvinópolis,,3102308,0.02066164,0.00000000,5,46
Contagem,,3118601,0.01962656,0.02600000,5,47
Rio Vermelho,,3156007,0.01960396,0.00000000,3,48
Ribeirão das Neves,,3154606,0.01907761,0.04900000,5,49
Bonfim,,3108107,0.01841338,0.21800000,5,50
Entre Rios de Minas,,3123908,0.01739998,0.00000000,5,51
Piedade dos Gerais,,3150406,0.01589379,0.00000000,5,52
Ibirité,,3129806,0.01589115,0.01800000,5,53
São Joaquim de Bicas,,3162922,0.01586241,0.04600000,5,54
Bela Vista de Minas,,3106002,0.01538735,0.00000000,5,55
São Sebastião do Rio Preto,,3164803,0.01528748,0.00000000,6,56
Rio Manso,,3155306,0.01491132,0.00000000,5,57
Morro do Pilar,,3143708,0.01275159,0.00000000,5,58
Inhaúma,,3131000,0.01176398,0.00000000,3,59
Moeda,,3142304,0.01168928,0.00000000,4,60
São Brás do Suaçuí,,3160900,0.01104010,0.00000000,5,61
Ouro Branco,,3145901,0.00878024,0.08200000,4,62
Papagaios,,3146909,0.00852051,0.00000000,3,63
Rio Acima,,3154804,0.00782565,0.00000000,5,64
Bom Jesus do Amparo,,3107703,0.00664891,0.00000000,5,65
Lagoa Santa,,3137601,0.00650205,0.04500000,5,66
Sarzedo,,3165537,0.00620900,0.04400000,4,67
Mário Campos,,3140159,0.00620900,0.00000000,4,68
Funilândia,,3127206,0.00593859,0.00000000,4,69
Florestal,,3126000,0.00416860,0.00000000,4,70
Queluzito,,3153806,0.00375445,0.90200000,5,71
Crucilândia,,3120607,0.00353086,0.00000000,4,72
João Monlevade,,3136207,0.00327334,0.02100000,4,73
Santana dos Montes,,3159100,0.00319736,0.00000000,3,74
Cristiano Otoni,,3120409,0.00311748,0.00000000,4,75
Passabém,,3147501,0.00305438,0.00000000,4,76
Pequi,,3149606,0.00279819,0.00000000,3,77
Prudente de Morais,,3153608,0.00237753,0.00000000,3,78
Barão de Cocais,,3105400,0.00209771,0.00000000,4,79
Maravilhas,,3139706,0.00194002,0.00000000,4,80
Itaguara,,3132206,0.00172409,0.11100000,3,81
Carmésia,,3113800,0.00149934,0.00000000,3,82
Pitangui,,3151404,0.00137896,0.06000000,3,83
Raposos,,3153905,0.00125474,0.00000000,4,84
Desterro de Entre Rios,,3121407,0.00123920,0.00000000,3,85
Alvorada de Minas,,3102407,0.00049505,0.00000000,3,86
Casa Grande,,3114907,0.00044664,0.00000000,3,87
Serra Azul de Minas,,3166501,0.00019802,0.00000000,3,88
Dom Joaquim,,3122603,0.00009901,0.00000000,3,89
Confins,,3117876,0.00006601,0.00000000,4,90
Dionísio,,3121803,0.00000000,0.00000000,2,91
Catas Altas,,3115359,0.00000000,0.00000000,3,92
Braúnas,,3108800,0.00000000,0.00000000,1,93
Diogo de Vasconcelos,,3121704,0.00000000,0.00000000,1,94
Santo Antônio do Rio Abaixo,,3160504,0.00000000,0.00000000,3,95
São José da Lapa,,3162955,0.00000000,0.00000000,3,96
Coluna,,3116803,0.00000000,0.00000000,1,97
Divinolândia de Minas,,3122207,0.00000000,0.00000000,0,98
Catas Altas da Noruega,,3115409,0.00000000,0.00000000,2,99
São José do Goiabal,,3163409,0.00000000,0.29700000,2,100
Congonhas do Norte,,3118106,0.00000000,0.00000000,3,101
Santo Antônio do Itambé,,3160207,0.00000000,0.00000000,2,102
