node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Unaí,,3170404,0.55303030,0.01800000,10,1
Chapada Gaúcha,,3116159,0.51179654,0.13100000,5,2
Arinos,,3104502,0.48611111,0.00000000,5,3
Januária,,3135209,0.40408550,0.04900000,6,4
João Pinheiro,,3136306,0.20482955,0.10100000,6,5
Itacarambi,,3132107,0.17104527,0.00000000,7,6
Paracatu,,3147006,0.14649621,0.01700000,5,7
Cônego Marinho,,3117836,0.08772547,0.00000000,6,8
São Francisco,,3161106,0.07153680,0.03100000,5,9
Presidente Olegário,,3153400,0.05044192,0.00000000,5,10
Montalvânia,,3142700,0.03817190,0.00000000,5,11
Bonito de Minas,,3108255,0.03785173,0.00000000,3,12
Lagoa Grande,,3137536,0.03327020,0.17600000,5,13
Manga,,3139300,0.03054654,0.00000000,6,14
São Gonçalo do Abaeté,,3161700,0.02563131,0.00000000,3,15
Pintópolis,,3150570,0.01893939,0.00000000,3,16
Vazante,,3171006,0.01654040,0.00000000,4,17
Uruana de Minas,,3170479,0.01578283,0.00000000,3,18
Formoso,,3126208,0.01420455,0.00000000,3,19
Buritis,,3109303,0.01388889,0.00000000,3,20
Pedras de Maria da Cruz,,3149150,0.01207612,0.00000000,3,21
Brasilândia de Minas,,3108552,0.01010101,0.21800000,4,22
Bonfinópolis de Minas,,3108206,0.00347222,0.00000000,5,23
Lagamar,,3137106,0.00321970,0.00000000,3,24
Miravânia,,3142254,0.00211490,0.00000000,5,25
Dom Bosco,,3122470,0.00063131,0.00000000,4,26
São João das Missões,,3162450,0.00047348,0.00000000,4,27
Guarda-Mor,,3128600,0.00000000,0.00000000,2,28
Icaraí de Minas,,3130051,0.00000000,0.00000000,2,29
Juvenília,,3136959,0.00000000,0.00000000,2,30
Varjão de Minas,,3170750,0.00000000,0.22800000,2,31
Natalândia,,3144375,0.00000000,0.00000000,3,32
Matias Cardoso,,3140852,0.00000000,0.00000000,2,33
Cabeceira Grande,,3109451,0.00000000,0.00000000,1,34
