node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Montes Claros,,3143302,0.35066615,0.01500000,11,1
Bocaiúva,,3107307,0.32827968,0.03200000,10,2
Grão Mogol,,3127800,0.31359828,0.00000000,11,3
Rio Pardo de Minas,,3155603,0.28675418,0.00000000,14,4
Coração de Jesus,,3118809,0.17461297,0.12900000,9,5
Francisco Sá,,3126703,0.13580507,0.00000000,7,6
Diamantina,,3121605,0.12707039,0.00000000,8,7
Botumirim,,3108503,0.12198459,0.00000000,6,8
São João da Ponte,,3162401,0.11564453,0.00000000,9,9
Janaúba,,3135100,0.11489276,0.04600000,9,10
Carbonita,,3113503,0.09219223,0.18900000,4,11
Ponto Chique,,3152131,0.07978501,0.00000000,7,12
Itacambira,,3132008,0.07443972,0.00000000,6,13
Riacho dos Machados,,3154507,0.07393142,0.00000000,7,14
Taiobeiras,,3168002,0.07163889,0.00000000,7,15
Itamarandiba,,3132503,0.06378404,0.05000000,4,16
Juramento,,3136801,0.06376463,0.00000000,6,17
Claro dos Poções,,3116506,0.06314048,0.00000000,6,18
Brasília de Minas,,3108602,0.04845137,0.00000000,8,19
Berilo,,3106507,0.04719033,0.00000000,5,20
São João do Paraíso,,3162708,0.04185952,0.00000000,7,21
Porteirinha,,3152204,0.03727929,0.00000000,8,22
Fruta de Leite,,3127073,0.03482602,0.00000000,7,23
Monte Azul,,3142908,0.03425088,0.00000000,8,24
Francisco Dumont,,3126604,0.03384037,0.00000000,5,25
São Romão,,3164209,0.03221093,0.16400000,5,26
Pai Pedro,,3146552,0.03057010,0.00000000,7,27
Salinas,,3157005,0.02725192,0.04000000,6,28
São João da Lagoa,,3162252,0.02657010,0.33300000,5,29
Patis,,3147956,0.02623827,0.00000000,5,30
Jaíba,,3135050,0.02557363,0.00000000,6,31
Águas Vermelhas,,3101003,0.02329790,0.00000000,6,32
Montezuma,,3143450,0.02303744,0.00000000,5,33
Lagoa dos Patos,,3137304,0.02198888,0.00000000,6,34
Capelinha,,3112307,0.02173913,0.12200000,3,35
Datas,,3121001,0.02173913,0.00000000,3,36
Capitão Enéas,,3112703,0.01902897,0.00000000,4,37
Várzea da Palma,,3170800,0.01842116,0.00000000,6,38
Buritizeiro,,3109402,0.01790689,0.06800000,7,39
Chapada do Norte,,3116100,0.01701974,0.00000000,5,40
Senador Modestino Gonçalves,,3165909,0.01540850,0.00000000,6,41
Engenheiro Navarro,,3123809,0.01481603,0.00000000,3,42
Santa Cruz de Salinas,,3157377,0.01476599,0.00000000,4,43
Japonvar,,3135357,0.01465333,0.00000000,4,44
Jequitaí,,3135605,0.01435060,0.00000000,5,45
Indaiabira,,3130655,0.01284382,0.00000000,4,46
Vargem Grande do Rio Pardo,,3170651,0.01279604,0.00000000,4,47
Gameleiras,,3127339,0.01232827,0.00000000,5,48
Santa Fé de Minas,,3157609,0.01222271,0.00000000,4,49
Ubaí,,3170008,0.01163903,0.27600000,5,50
José Gonçalves de Minas,,3136520,0.01150103,0.40900000,5,51
Mirabela,,3142007,0.01040755,0.00000000,4,52
Leme do Prado,,3138351,0.00895384,0.00000000,3,53
Varzelândia,,3170909,0.00827698,0.08500000,4,54
Francisco Badaró,,3126505,0.00666294,0.00000000,3,55
Mato Verde,,3141009,0.00655915,0.00000000,5,56
Verdelândia,,3171030,0.00573107,0.00000000,4,57
Ibiaí,,3129608,0.00556652,0.00000000,4,58
São Gonçalo do Rio Preto,,3125507,0.00511626,0.00000000,4,59
Couto de Magalhães de Minas,,3120102,0.00511626,0.00000000,4,60
Cristália,,3120300,0.00493616,0.00000000,4,61
Espinosa,,3124302,0.00457898,0.05400000,5,62
Santo Antônio do Retiro,,3160454,0.00448844,0.00000000,4,63
Campo Azul,,3111150,0.00431291,0.44400000,5,64
Berizal,,3106655,0.00421830,0.00000000,4,65
Padre Carvalho,,3146255,0.00418764,0.31900000,4,66
Curral de Dentro,,3120870,0.00407098,0.00000000,4,67
Josenópolis,,3136579,0.00406023,0.00000000,3,68
Glaucilândia,,3127354,0.00280153,0.00000000,4,69
Lassance,,3138104,0.00257570,0.00000000,3,70
Rubelita,,3156502,0.00239688,0.00000000,4,71
Guaraciama,,3128253,0.00102325,0.00000000,4,72
Riachinho,,3154457,0.00067155,0.19600000,3,73
Lontra,,3138658,0.00064501,0.00000000,3,74
Ibiracatu,,3129657,0.00030658,0.00000000,3,75
Aricanduva,,3104452,0.00000000,0.00000000,2,76
Mamonas,,3139250,0.00000000,0.00000000,3,77
Felício dos Santos,,3125408,0.00000000,0.00000000,3,78
Serranópolis de Minas,,3166956,0.00000000,0.36500000,3,79
Ninheira,,3144656,0.00000000,0.00000000,2,80
Presidente Kubitschek,,3153301,0.00000000,0.00000000,1,81
Catuti,,3115474,0.00000000,0.00000000,3,82
Jenipapo de Minas,,3135456,0.00000000,0.00000000,2,83
Luislândia,,3138682,0.00000000,0.00000000,2,84
Urucuia,,3170529,0.00000000,0.18400000,2,85
Nova Porteirinha,,3145059,0.00000000,0.00000000,2,86
Pirapora,,3151206,0.00000000,0.00000000,2,87
Divisa Alegre,,3122355,0.00000000,0.00000000,1,88
Gouveia,,3127602,0.00000000,0.00000000,2,89
São João do Pacuí,,3162658,0.00000000,0.00000000,3,90
Olhos-d'Água,,3145455,0.00000000,0.00000000,2,91
Angelândia,,3102852,0.00000000,0.20800000,1,92
Novorizonte,,3145372,0.00000000,0.00000000,3,93
