node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Formiga,,3126109,0.33706046,0.04700000,10,1
Itapecerica,,3133501,0.22819320,0.00000000,9,2
Divinópolis,,3122306,0.16006698,0.02600000,8,3
Piumhi,,3151503,0.13769786,0.00000000,6,4
Pains,,3146503,0.13022656,0.00000000,7,5
Candeias,,3112000,0.12377043,0.00000000,7,6
São Francisco de Paula,,3161205,0.10889705,0.00000000,7,7
Pimenta,,3150505,0.10677625,0.00000000,4,8
Cláudio,,3116605,0.10049137,0.00000000,6,9
Santo Antônio do Monte,,3160405,0.09122884,0.00000000,6,10
São Roque de Minas,,3164308,0.07729469,0.00000000,3,11
Oliveira,,3145604,0.07710779,0.00000000,6,12
Carmo do Cajuru,,3114204,0.06779081,0.13700000,5,13
Santana do Jacaré,,3158805,0.06379990,0.00000000,6,14
Carmópolis de Minas,,3114501,0.06249185,0.00000000,5,15
Carmo da Mata,,3114006,0.05235298,0.00000000,5,16
Bom Sucesso,,3108008,0.04334407,0.00000000,4,17
Arcos,,3104205,0.04250569,0.03900000,5,18
Medeiros,,3141306,0.03961353,0.00000000,2,19
Cristais,,3120201,0.03807432,0.00000000,4,20
Santo Antônio do Amparo,,3159902,0.03350738,0.09600000,5,21
Campo Belo,,3111200,0.02985988,0.03100000,5,22
São Gonçalo do Pará,,3161809,0.02812104,0.13700000,5,23
Nova Serrana,,3145208,0.01965061,0.04200000,4,24
Camacho,,3110400,0.01862326,0.00000000,4,25
Perdões,,3149903,0.01193048,0.00000000,4,26
Capitólio,,3112802,0.00996720,0.00000000,3,27
Perdigão,,3149705,0.00986189,0.13400000,3,28
São Sebastião do Oeste,,3164605,0.00868624,0.00000000,5,29
Passa Tempo,,3147709,0.00459510,0.00000000,3,30
Pedra do Indaiá,,3148905,0.00457452,0.00000000,4,31
Igaratinga,,3130200,0.00397976,0.00000000,4,32
Iguatama,,3130309,0.00294428,0.00000000,3,33
Cana Verde,,3111903,0.00285254,0.00000000,3,34
Doresópolis,,3123403,0.00273752,0.00000000,3,35
Vargem Bonita,,3170602,0.00144928,0.00000000,3,36
Conceição do Pará,,3117603,0.00096618,0.30300000,3,37
Itaúna,,3133808,0.00000000,0.01700000,2,38
Córrego Fundo,,3119955,0.00000000,0.00000000,3,39
Capetinga,,3112406,0.00000000,0.00000000,1,40
Tapiraí,,3168200,0.00000000,0.00000000,1,41
Alpinópolis,,3101904,0.00000000,0.00000000,1,42
Ibituruna,,3130002,0.00000000,0.00000000,1,43
Piracema,,3150604,0.00000000,0.00000000,2,44
Bom Jesus da Penha,,3107604,0.00000000,0.00000000,1,45
Cássia,,3115102,0.00000000,0.00000000,1,46
Aguanil,,3100807,0.00000000,0.00000000,2,47
