node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Alfenas,,3101607,0.22760215,0.06100000,10,1
Machado,,3139003,0.16995117,0.00000000,8,2
Três Corações,,3169307,0.16452916,0.02100000,8,3
Carmo do Rio Claro,,3114402,0.15911364,0.00000000,9,4
Campestre,,3111002,0.14749843,0.07400000,9,5
Santa Rita do Sapucaí,,3159605,0.14746227,0.03900000,8,6
Conceição do Rio Verde,,3117702,0.14456104,0.00000000,8,7
Pouso Alegre,,3152501,0.14088050,0.04000000,8,8
Três Pontas,,3169406,0.13581238,0.00000000,6,9
Carmo da Cachoeira,,3113909,0.12293046,0.00000000,6,10
São Gonçalo do Sapucaí,,3162005,0.11398086,0.00000000,8,11
Baependi,,3104908,0.11255849,0.00000000,8,12
Ipuiúna,,3131505,0.10030645,0.00000000,8,13
Paraguaçu,,3147204,0.09745571,0.07400000,7,14
Nova Resende,,3145109,0.09431855,0.00000000,6,15
Cordislândia,,3119005,0.09183008,0.00000000,6,16
Estiva,,3124500,0.08740700,0.00000000,7,17
Borda da Mata,,3108305,0.08733314,0.00000000,8,18
São Pedro da União,,3163904,0.08709817,0.00000000,5,19
Jesuânia,,3135902,0.08485327,0.00000000,7,20
Natércia,,3144409,0.08425002,0.00000000,7,21
Monsenhor Paulo,,3142601,0.07830926,0.00000000,6,22
São José da Barra,,3162948,0.07807448,0.00000000,3,23
Ouro Fino,,3146008,0.07710432,0.05000000,8,24
Cachoeira de Minas,,3109709,0.07654844,0.00000000,7,25
São Tomé das Letras,,3165206,0.07377410,0.00000000,5,26
Silvianópolis,,3167400,0.07104286,0.00000000,7,27
Campos Gerais,,3111606,0.07072485,0.00000000,7,28
São João Batista do Glória,,3162203,0.06722580,0.00000000,3,29
Turvolândia,,3169802,0.06586853,0.00000000,7,30
Aiuruoca,,3101201,0.06469384,0.00000000,8,31
Jacuí,,3134806,0.05772421,0.00000000,6,32
Alterosa,,3102001,0.05153783,0.00000000,6,33
Divisa Nova,,3122405,0.05153354,0.00000000,6,34
Poço Fundo,,3151701,0.05076126,0.10100000,7,35
Carmo de Minas,,3114105,0.05050689,0.00000000,8,36
Cabo Verde,,3109501,0.05034751,0.00000000,5,37
Cambuí,,3110608,0.04939902,0.00000000,7,38
Maria da Fé,,3139904,0.04889532,0.00000000,7,39
Virgínia,,3171709,0.04580269,0.00000000,7,40
Varginha,,3170701,0.04481209,0.03500000,5,41
Boa Esperança,,3107109,0.04445679,0.00000000,7,42
Cruzília,,3120805,0.04233384,0.00000000,5,43
Piranguinho,,3151008,0.03939007,0.17600000,6,44
Ingaí,,3130804,0.03787702,0.00000000,4,45
Pedralva,,3149101,0.03759326,0.00000000,6,46
Careaçu,,3113602,0.03728258,0.00000000,6,47
Bocaina de Minas,,3107208,0.03663807,0.00000000,6,48
Botelhos,,3108404,0.03559817,0.00000000,5,49
Espírito Santo do Dourado,,3124401,0.03546983,0.00000000,6,50
Itamonte,,3133006,0.03537006,0.00000000,5,51
Lambari,,3137809,0.03408927,0.00000000,6,52
Bueno Brandão,,3109105,0.03352494,0.00000000,6,53
Santa Rita de Caldas,,3159209,0.03326416,0.00000000,6,54
Muzambinho,,3144102,0.03317918,0.00000000,4,55
Guaranésia,,3128303,0.03155766,0.00000000,5,56
Itanhandu,,3133105,0.03138946,0.00000000,5,57
Carrancas,,3114600,0.02984359,0.00000000,4,58
Itutinga,,3134509,0.02794790,0.00000000,3,59
Consolação,,3118502,0.02753132,0.00000000,6,60
Santana da Vargem,,3158300,0.02733714,0.00000000,4,61
Itajubá,,3132404,0.02729841,0.03500000,6,62
Delfinópolis,,3121209,0.02720831,0.00000000,3,63
Passos,,3147907,0.02642339,0.01500000,5,64
São José do Alegre,,3163201,0.02578951,0.00000000,5,65
Camanducaia,,3110509,0.02486603,0.00000000,7,66
Brazópolis,,3108909,0.02443338,0.00000000,5,67
Paraisópolis,,3147303,0.02438668,0.00000000,6,68
Andradas,,3102605,0.02396997,0.04000000,7,69
Guaxupé,,3128709,0.02265348,0.00000000,4,70
São Sebastião do Paraíso,,3164704,0.02201640,0.04500000,6,71
Campanha,,3110905,0.01954247,0.10100000,5,72
Monte Belo,,3143005,0.01931391,0.12300000,6,73
Elói Mendes,,3123601,0.01840308,0.06100000,5,74
Delfim Moreira,,3121100,0.01790500,0.00000000,5,75
Lavras,,3138203,0.01764156,0.01600000,4,76
Areado,,3104304,0.01651336,0.00000000,5,77
São Vicente de Minas,,3165305,0.01605786,0.00000000,4,78
Pouso Alto,,3152600,0.01549022,0.00000000,7,79
Itapeva,,3133600,0.01547071,0.00000000,6,80
Serrania,,3166907,0.01493782,0.00000000,4,81
Andrelândia,,3102803,0.01411034,0.00000000,6,82
São Sebastião do Rio Verde,,3164902,0.01391815,0.00000000,6,83
Ibiraci,,3129707,0.01369863,0.00000000,2,84
Liberdade,,3138500,0.01353628,0.00000000,7,85
Cristina,,3120508,0.01345424,0.00000000,6,86
Caldas,,3110301,0.01236609,0.00000000,6,87
Monte Santo de Minas,,3143203,0.01183833,0.00000000,5,88
Campo do Meio,,3111309,0.01175578,0.14200000,4,89
Munhoz,,3143807,0.01159988,0.00000000,4,90
Dom Viçoso,,3122801,0.01153860,0.00000000,5,91
Piranguçu,,3150901,0.01141102,0.00000000,4,92
Bom Repouso,,3107901,0.01099294,0.00000000,6,93
São Bento Abade,,3160801,0.01087060,0.00000000,3,94
Cambuquira,,3110707,0.01042701,0.00000000,5,95
Juruaia,,3136900,0.00982773,0.00000000,5,96
Poços de Caldas,,3151800,0.00947244,0.01900000,4,97
Guapé,,3128105,0.00909019,0.00000000,4,98
Congonhal,,3117900,0.00882038,0.00000000,5,99
Alagoa,,3101300,0.00866686,0.00000000,4,100
Fortaleza de Minas,,3126307,0.00824075,0.46100000,5,101
Minduri,,3141900,0.00821208,0.00000000,5,102
Seritinga,,3166402,0.00774452,0.00000000,5,103
Senador Amaral,,3165578,0.00758101,0.00000000,5,104
Serranos,,3167004,0.00635093,0.00000000,5,105
Soledade de Minas,,3167806,0.00619620,0.00000000,5,106
Inconfidentes,,3130606,0.00513091,0.00000000,5,107
Heliodora,,3129202,0.00470952,0.00000000,4,108
São Sebastião da Bela Vista,,3164407,0.00457473,0.00000000,4,109
Conceição das Pedras,,3117207,0.00429761,0.00000000,5,110
Conceição dos Ouros,,3117801,0.00400473,0.00000000,4,111
Jacutinga,,3134905,0.00354336,0.00000000,4,112
Carvalhos,,3114808,0.00343301,0.00000000,4,113
Caxambu,,3115508,0.00310646,0.00000000,4,114
Passa Vinte,,3147808,0.00309544,0.00000000,3,115
Wenceslau Braz,,3172202,0.00278785,0.00000000,3,116
Itaú de Minas,,3133758,0.00222516,0.00000000,3,117
Itumirim,,3134301,0.00216098,0.00000000,4,118
Bandeira do Sul,,3105301,0.00214295,0.53800000,4,119
Gonçalves,,3127404,0.00205048,0.00000000,3,120
Toledo,,3169109,0.00135819,0.00000000,3,121
Córrego do Bom Jesus,,3119906,0.00099453,0.00000000,4,122
Passa Quatro,,3147600,0.00098024,0.00000000,3,123
Tocos do Moji,,3169059,0.00096716,0.00000000,4,124
Monte Sião,,3143401,0.00079404,0.06800000,3,125
Extrema,,3125101,0.00076898,0.00000000,3,126
São Lourenço,,3163706,0.00074655,0.07200000,4,127
Marmelópolis,,3140407,0.00058459,0.00000000,3,128
São João da Mata,,3162302,0.00053546,0.00000000,4,129
Olímpio Noronha,,3145505,0.00051322,0.00000000,4,130
Bom Jardim de Minas,,3107505,0.00029336,0.00000000,4,131
Pratápolis,,3152907,0.00018107,0.00000000,3,132
Carvalhópolis,,3114709,0.00000000,0.00000000,3,133
Claraval,,3116407,0.00000000,0.00000000,1,134
Arceburgo,,3104106,0.00000000,0.00000000,2,135
Ilicínea,,3130507,0.00000000,0.12600000,3,136
Fama,,3125200,0.00000000,0.00000000,3,137
Arantina,,3103603,0.00000000,0.00000000,3,138
Coqueiral,,3118700,0.00000000,0.00000000,2,139
Itamogi,,3132909,0.00000000,0.00000000,2,140
Ijaci,,3130408,0.00000000,0.00000000,2,141
Ibitiúra de Minas,,3129905,0.00000000,0.00000000,3,142
Sapucaí-Mirim,,3165404,0.00000000,0.00000000,2,143
São Tomás de Aquino,,3165107,0.00000000,0.00000000,1,144
Conceição da Aparecida,,3117108,0.00000000,0.00000000,3,145
Albertina,,3101409,0.00000000,0.00000000,2,146
Senador José Bento,,3165800,0.00000000,0.00000000,3,147
