node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Uberaba,,3170107,0.36887581,0.01300000,9,1
Tiros,,3168903,0.32955575,0.19700000,9,2
Sacramento,,3156908,0.31369618,0.12400000,7,3
Perdizes,,3149804,0.28302738,0.17800000,8,4
Serra do Salitre,,3166808,0.24593170,0.00000000,7,5
Uberlândia,,3170206,0.21337744,0.02000000,6,6
Patos de Minas,,3148004,0.21223544,0.06000000,7,7
Morada Nova de Minas,,3143500,0.18707616,0.00000000,6,8
Prata,,3152808,0.17806028,0.05600000,6,9
Campina Verde,,3111101,0.13344818,0.00000000,6,10
Monte Carmelo,,3143104,0.12589798,0.06800000,8,11
Carmo do Paranaíba,,3114303,0.10949156,0.05600000,6,12
Estrela do Sul,,3124807,0.10676887,0.23900000,6,13
Ibiá,,3129509,0.10652802,0.00000000,7,14
Indianópolis,,3130705,0.09571068,0.00000000,4,15
Coromandel,,3119302,0.09448438,0.00000000,5,16
Conceição das Alagoas,,3117306,0.09410037,0.12100000,6,17
Veríssimo,,3171105,0.08742257,0.00000000,5,18
Corinto,,3119104,0.08137715,0.00000000,4,19
Nova Ponte,,3145000,0.08051382,0.00000000,8,20
Monte Alegre de Minas,,3142809,0.07235698,0.08000000,6,21
Felixlândia,,3125705,0.06761868,0.00000000,5,22
Patrocínio,,3148103,0.05645461,0.01700000,7,23
Rio Paranaíba,,3155504,0.05563040,0.00000000,7,24
Augusto de Lima,,3104809,0.05477308,0.00000000,2,25
Três Marias,,3169356,0.04851330,0.00000000,3,26
Campo Florido,,3111408,0.04688831,0.00000000,6,27
Paineiras,,3146404,0.04179708,0.00000000,6,28
Iturama,,3134400,0.04128412,0.04200000,5,29
Frutal,,3127107,0.04105047,0.02500000,6,30
Pompéu,,3152006,0.03840636,0.05300000,5,31
Iraí de Minas,,3131604,0.03592549,0.00000000,6,32
Campos Altos,,3111507,0.03293426,0.00000000,5,33
Curvelo,,3120904,0.03012520,0.01900000,4,34
São Gotardo,,3162104,0.02828348,0.11700000,5,35
Buenópolis,,3109204,0.02777778,0.17700000,2,36
Araxá,,3104007,0.02645974,0.02800000,4,37
Tapira,,3168101,0.02568438,0.00000000,3,38
Comendador Gomes,,3116902,0.01923935,0.00000000,5,39
União de Minas,,3170438,0.01309772,0.00000000,3,40
Pirajuba,,3150703,0.01217613,0.00000000,4,41
Grupiara,,3127909,0.01176316,0.00000000,4,42
Planura,,3151602,0.01175633,0.00000000,3,43
Cedro do Abaeté,,3115607,0.01154147,0.00000000,3,44
Tupaciguara,,3169604,0.01051991,0.00000000,3,45
Conquista,,3118205,0.00666778,0.00000000,3,46
Itapagipe,,3133402,0.00643553,0.00000000,4,47
Romaria,,3156403,0.00519758,0.00000000,4,48
Abadia dos Dourados,,3100104,0.00422908,0.00000000,3,49
Matutina,,3141207,0.00402414,0.00000000,4,50
Arapuá,,3103801,0.00402414,0.00000000,4,51
Cruzeiro da Fortaleza,,3120706,0.00320023,0.00000000,4,52
Guimarânia,,3128907,0.00285247,0.00000000,4,53
Pedrinópolis,,3149200,0.00281932,0.00000000,4,54
Santa Juliana,,3157708,0.00281839,0.00000000,4,55
São Francisco de Sales,,3161304,0.00173883,0.00000000,3,56
Abaeté,,3100203,0.00107590,0.00000000,3,57
Douradoquara,,3123502,0.00032603,0.00000000,3,58
Centralina,,3115805,0.00019562,0.00000000,3,59
Limeira do Oeste,,3138625,0.00019562,0.00000000,3,60
Araporã,,3103751,0.00019562,0.18800000,3,61
Pratinha,,3153004,0.00000000,0.00000000,2,62
Fronteira,,3127008,0.00000000,0.00000000,1,63
Carneirinho,,3114550,0.00000000,0.00000000,2,64
Lagoa Formosa,,3137502,0.00000000,0.08400000,2,65
Biquinhas,,3107000,0.00000000,0.00000000,3,66
Canápolis,,3111804,0.00000000,0.00000000,2,67
Delta,,3121258,0.00000000,0.00000000,2,68
Cascalho Rico,,3115003,0.00000000,0.00000000,2,69
Água Comprida,,3100708,0.00000000,0.00000000,2,70
Santa Rosa da Serra,,3159704,0.00000000,0.00000000,2,71
Inimutaba,,3131109,0.00000000,0.00000000,1,72
Joaquim Felício,,3136405,0.00000000,0.00000000,1,73
