node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Governador Valadares,,3127701,0.37569042,0.03100000,17,1
Açucena,,3100500,0.24660299,0.00000000,10,2
Caratinga,,3113404,0.20483660,0.05500000,15,3
Conselheiro Pena,,3118403,0.18395941,0.00000000,12,4
Guanhães,,3128006,0.15167312,0.10100000,8,5
Iapu,,3129301,0.14014170,0.00000000,8,6
Inhapim,,3130903,0.13416784,0.00000000,12,7
Periquito,,3149952,0.10919443,0.00000000,6,8
Peçanha,,3148608,0.09814532,0.00000000,10,9
Pocrane,,3151909,0.08989682,0.00000000,8,10
Galiléia,,3127305,0.06913767,0.00000000,6,11
Central de Minas,,3115706,0.06535737,0.00000000,7,12
Tumiritinga,,3169505,0.06288645,0.00000000,6,13
Coroaci,,3119203,0.05932416,0.00000000,6,14
Mesquita,,3141702,0.05599436,0.00000000,6,15
Belo Oriente,,3106309,0.05460409,0.00000000,7,16
Tarumirim,,3168408,0.04866412,0.00000000,8,17
São João Evangelista,,3162807,0.04828591,0.00000000,7,18
Timóteo,,3168705,0.04659709,0.00000000,7,19
Bom Jesus do Galho,,3107802,0.04419807,0.10900000,7,20
Marilac,,3140100,0.04331825,0.00000000,7,21
Ipanema,,3131208,0.03955702,0.00000000,5,22
Sardoá,,3165503,0.03753721,0.33600000,6,23
Jampruca,,3135076,0.03590652,0.00000000,6,24
Coronel Fabriciano,,3119401,0.03313988,0.00000000,5,25
Divino das Laranjeiras,,3122108,0.02973210,0.00000000,6,26
Sabinópolis,,3156809,0.02531649,0.00000000,5,27
Mendes Pimentel,,3141504,0.02451903,0.00000000,6,28
Itambacuri,,3132701,0.02363346,0.00000000,6,29
Sobrália,,3167707,0.02296963,0.00000000,6,30
São Félix de Minas,,3161056,0.02200064,0.00000000,5,31
Nova Módica,,3144904,0.02125351,0.00000000,6,32
Santa Maria do Suaçuí,,3158201,0.02024377,0.00000000,7,33
Joanésia,,3136108,0.02007905,0.00000000,3,34
Ipatinga,,3131307,0.01993715,0.02300000,5,35
Mantena,,3139607,0.01751738,0.06100000,5,36
Santa Rita do Itueto,,3159506,0.01689872,0.00000000,5,37
São José do Jacuri,,3163508,0.01633525,0.26300000,5,38
Naque,,3144359,0.01456053,0.25300000,4,39
Alvarenga,,3102209,0.01440003,0.00000000,4,40
Santana do Paraíso,,3158953,0.01373475,0.08600000,5,41
São José do Divino,,3163300,0.01326794,0.00000000,5,42
Fernandes Tourinho,,3125804,0.01308726,0.00000000,5,43
Água Boa,,3100609,0.01187362,0.00000000,4,44
Engenheiro Caldas,,3123700,0.01092526,0.00000000,6,45
São Sebastião do Maranhão,,3164506,0.01040830,0.16200000,5,46
Alpercata,,3101805,0.01037208,0.00000000,5,47
São José da Safira,,3163003,0.00968467,0.00000000,5,48
Gonzaga,,3127503,0.00963247,0.30900000,5,49
Frei Inocêncio,,3126901,0.00929624,0.00000000,5,50
José Raydan,,3136553,0.00861584,0.00000000,5,51
Itanhomi,,3133204,0.00742355,0.00000000,5,52
Itabirinha,,3131802,0.00699989,0.00000000,4,53
Resplendor,,3154309,0.00699934,0.00000000,5,54
Nacip Raydan,,3144201,0.00635060,0.00000000,5,55
Bugre,,3109253,0.00594180,0.00000000,4,56
Imbé de Minas,,3130556,0.00581515,0.00000000,6,57
Ipaba,,3131158,0.00564759,0.00000000,4,58
São João do Oriente,,3162609,0.00551709,0.22800000,5,59
Santa Efigênia de Minas,,3157500,0.00435619,0.00000000,5,60
Pescador,,3150000,0.00422933,0.00000000,4,61
Aimorés,,3101102,0.00397619,0.00000000,4,62
São Pedro do Suaçuí,,3164100,0.00357145,0.31400000,5,63
Antônio Dias,,3103009,0.00349875,0.00000000,3,64
Taparuba,,3168051,0.00348636,0.00000000,4,65
Virgolândia,,3171907,0.00332990,0.00000000,4,66
Mutum,,3144003,0.00316641,0.00000000,4,67
Marliéria,,3140308,0.00204708,0.00000000,4,68
Campanário,,3110806,0.00198575,0.00000000,3,69
Ubaporanga,,3170057,0.00157923,0.12500000,4,70
Paulistas,,3148400,0.00139160,0.00000000,3,71
Conceição de Ipanema,,3117405,0.00102126,0.36700000,3,72
São Geraldo da Piedade,,3161601,0.00070127,0.00000000,4,73
Virginópolis,,3171808,0.00052473,0.00000000,3,74
Itueta,,3134103,0.00028929,0.00000000,3,75
Senhora do Porto,,3166105,0.00028052,0.00000000,3,76
Capitão Andrade,,3112653,0.00019662,0.00000000,4,77
