node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Muriaé,,3143906,0.31064635,0.00000000,12,1
Leopoldina,,3138401,0.29700447,0.03300000,12,2
Laranjal,,3138005,0.23808551,0.00000000,6,3
Araponga,,3103702,0.20875902,0.00000000,7,4
Ervália,,3124005,0.19657619,0.00000000,10,5
São João Nepomuceno,,3162906,0.17108388,0.00000000,9,6
Pedra Bonita,,3148756,0.16935901,0.00000000,7,7
Miradouro,,3142106,0.16424253,0.00000000,6,8
Juiz de Fora,,3136702,0.15115583,0.02300000,14,9
Fervedouro,,3125952,0.13988128,0.00000000,6,10
Divino,,3122009,0.12891069,0.00000000,9,11
Manhuaçu,,3139409,0.12027952,0.05400000,10,12
Matipó,,3140902,0.09828534,0.00000000,6,13
Guidoval,,3128808,0.09460116,0.22400000,8,14
Paula Cândido,,3148301,0.08914733,0.00000000,8,15
Dores do Turvo,,3123304,0.08245535,0.00000000,8,16
Ubá,,3169901,0.07913696,0.06500000,9,17
São Miguel do Anta,,3163805,0.07733374,0.00000000,8,18
Tabuleiro,,3167905,0.07462121,0.00000000,7,19
Mercês,,3141603,0.06555983,0.00000000,7,20
Guiricema,,3129004,0.06084547,0.00000000,6,21
Astolfo Dutra,,3104601,0.05937049,0.00000000,8,22
Abre Campo,,3100302,0.05894564,0.00000000,6,23
Bicas,,3106903,0.05833663,0.00000000,7,24
Senador Firmino,,3165701,0.05785112,0.00000000,6,25
Santos Dumont,,3160702,0.05187909,0.07300000,7,26
Luisburgo,,3138674,0.05099786,0.00000000,6,27
Chácara,,3115904,0.04970457,0.00000000,5,28
Viçosa,,3171303,0.04579674,0.00000000,6,29
Descoberto,,3121308,0.04480805,0.00000000,6,30
Carangola,,3113305,0.04415865,0.05200000,7,31
Eugenópolis,,3124906,0.04126962,0.14800000,6,32
Cataguases,,3115300,0.04095040,0.04700000,7,33
Miraí,,3142205,0.04022747,0.00000000,7,34
Coimbra,,3116704,0.03888618,0.00000000,6,35
Guarani,,3128402,0.03880619,0.21400000,6,36
Visconde do Rio Branco,,3172004,0.03686313,0.08300000,6,37
Santana do Manhuaçu,,3158904,0.03611041,0.00000000,5,38
Lima Duarte,,3138609,0.03584349,0.00000000,7,39
Além Paraíba,,3101508,0.03551647,0.05200000,5,40
Presidente Bernardes,,3153103,0.03351567,0.00000000,6,41
São Geraldo,,3161502,0.03337115,0.31200000,5,42
Mar de Espanha,,3139805,0.03058841,0.25900000,8,43
Rio Novo,,3155405,0.02994598,0.00000000,6,44
Piau,,3150109,0.02691230,0.00000000,6,45
Durandé,,3123528,0.02605095,0.00000000,6,46
Pedra Dourada,,3149002,0.02577095,0.00000000,6,47
Sericita,,3166303,0.02528203,0.21800000,3,48
Rio Pomba,,3155801,0.02501738,0.00000000,7,49
Santana do Deserto,,3158607,0.02500856,0.00000000,6,50
Alto Rio Doce,,3102100,0.02496087,0.00000000,5,51
Santo Antônio do Aventureiro,,3160009,0.02232767,0.00000000,5,52
Reduto,,3154150,0.02222301,0.00000000,6,53
Vieiras,,3171402,0.02169229,0.00000000,5,54
Brás Pires,,3108701,0.02070833,0.00000000,6,55
Manhumirim,,3139508,0.02041663,0.08100000,5,56
Porto Firme,,3152303,0.02003236,0.00000000,4,57
Aracitaba,,3103306,0.01971873,0.00000000,5,58
São João do Manhuaçu,,3162559,0.01851724,0.00000000,6,59
Bias Fortes,,3106804,0.01590516,0.00000000,5,60
Rio Preto,,3155900,0.01538859,0.00000000,4,61
Santo Antônio do Grama,,3160108,0.01526535,0.00000000,2,62
São Francisco do Glória,,3161403,0.01436298,0.00000000,5,63
Santa Bárbara do Monte Verde,,3157278,0.01422116,0.54200000,4,64
Senhora de Oliveira,,3166006,0.01305418,0.00000000,6,65
Espera Feliz,,3124203,0.01298200,0.00000000,5,66
Argirita,,3104403,0.01293180,0.00000000,5,67
Caputira,,3112901,0.01160658,0.00000000,4,68
Caparaó,,3112109,0.01096200,0.00000000,5,69
Piranga,,3150802,0.01026691,0.00000000,4,70
Teixeiras,,3168507,0.00931707,0.13300000,4,71
Palma,,3146701,0.00926523,0.00000000,4,72
Canaã,,3111705,0.00911866,0.00000000,4,73
Recreio,,3154101,0.00893860,0.00000000,4,74
Chiador,,3116209,0.00850342,0.00000000,3,75
Goianá,,3127388,0.00823189,0.00000000,5,76
Maripá de Minas,,3140209,0.00785090,0.00000000,7,77
Itamarati de Minas,,3132602,0.00775869,0.00000000,5,78
Pedra do Anta,,3148806,0.00703671,0.45700000,4,79
Rio Espera,,3155207,0.00673397,0.00000000,4,80
Piraúba,,3151305,0.00634375,0.00000000,5,81
Tombos,,3169208,0.00631558,0.00000000,4,82
Faria Lemos,,3125309,0.00593816,1.00000000,4,83
Pequeri,,3149507,0.00585873,0.00000000,5,84
São José do Mantimento,,3163607,0.00444795,0.00000000,3,85
Paiva,,3146602,0.00351941,0.00000000,3,86
Santana de Cataguases,,3158409,0.00349365,0.00000000,4,87
Santa Margarida,,3157906,0.00338300,0.09800000,5,88
Senador Cortes,,3165602,0.00276585,0.00000000,5,89
Martins Soares,,3140530,0.00274247,0.00000000,3,90
Tocantins,,3169000,0.00232504,0.10800000,4,91
Divinésia,,3121902,0.00221785,0.00000000,4,92
Belmiro Braga,,3106101,0.00219054,0.00000000,4,93
Alto Jequitibá,,3153509,0.00214202,0.19100000,4,94
São Sebastião da Vargem Alegre,,3164431,0.00191226,0.00000000,5,95
Matias Barbosa,,3140803,0.00181581,0.00000000,4,96
Dona Euzébia,,3122900,0.00157344,0.00000000,5,97
Oliveira Fortes,,3145703,0.00148977,0.00000000,3,98
Cipotânea,,3116308,0.00122823,0.00000000,4,99
Lamim,,3137908,0.00113561,0.00000000,3,100
Guarará,,3128501,0.00109972,0.00000000,5,101
Rosário da Limeira,,3156452,0.00108833,0.00000000,4,102
Coronel Pacheco,,3119609,0.00080344,0.00000000,4,103
Alto Caparaó,,3102050,0.00059574,0.00000000,3,104
Rodeiro,,3156304,0.00052124,0.00000000,4,105
Caiana,,3110103,0.00041968,0.00000000,3,106
Simonésia,,3167608,0.00039754,0.00000000,4,107
Patrocínio do Muriaé,,3148202,0.00035070,0.00000000,3,108
Volta Grande,,3172103,0.00033322,0.00000000,3,109
Simão Pereira,,3167509,0.00021675,0.00000000,3,110
Pirapetinga,,3151107,0.00012920,0.00000000,3,111
Barão de Monte Alto,,3105509,0.00012920,0.00000000,3,112
Chalé,,3116001,0.00005963,0.00000000,3,113
Estrela Dalva,,3124609,0.00005963,0.00000000,3,114
Sem-Peixe,,3165560,0.00000000,0.00000000,0,115
Urucânia,,3170503,0.00000000,0.00000000,1,116
Vermelho Novo,,3171154,0.00000000,0.00000000,2,117
Amparo do Serra,,3102506,0.00000000,0.00000000,2,118
Santa Rita de Jacutinga,,3159308,0.00000000,0.00000000,1,119
Ewbank da Câmara,,3125002,0.00000000,0.00000000,2,120
Antônio Prado de Minas,,3103108,0.00000000,0.00000000,2,121
Lajinha,,3137700,0.00000000,0.00000000,2,122
Orizânia,,3145877,0.00000000,0.00000000,3,123
Olaria,,3145406,0.00000000,0.00000000,2,124
Santa Rita de Ibitipoca,,3159407,0.00000000,0.00000000,2,125
Cajuri,,3110202,0.00000000,0.00000000,3,126
São Pedro dos Ferros,,3164001,0.00000000,0.22500000,1,127
Rochedo de Minas,,3156205,0.00000000,0.00000000,3,128
Silveirânia,,3167301,0.00000000,0.00000000,3,129
Pedro Teixeira,,3149408,0.00000000,0.00000000,3,130
Santa Bárbara do Leste,,3157252,0.00000000,0.00000000,2,131
